Inventory_ID,Product_ID,Warehouse_ID,Stock_Date,Opening_Stock,Received_Qty,Sold_Qty,Closing_Stock,Reorder_Level,Safety_Stock
INV000075,P1490,W001,05-Mar-2025,1581,796,514,1863,123,32
INV000076,P1004,W016,23-Aug-2025,1796,734,427,2103,58,19
INV000077,P1618,W014,02-Jun-2025,1601,980,495,2086,40,18
INV000078,P1831,W008,17-Jul-2025,287,207,220,274,199,80
INV000079,P1664,W013,05-Mar-2025,1794,160,444,1510,131,38
INV000080,P1155,W012,14-Feb-2025,631,954,864,721,291,59
INV000081,P1534,W012,01-Oct-2025,490,739,940,289,188,66
INV000082,P1268,W014,18-Mar-2025,515,146,661,0,269,89
INV000083,P1965,W010,13-Nov-2025,683,501,322,862,85,24
INV000084,P1881,W018,12-Aug-2025,23,324,347,0,298,141
INV000085,P1187,W012,07-Feb-2025,1688,699,648,1739,168,42
INV000086,P1510,W020,27-Aug-2025,805,78,883,0,253,56
INV000087,P1940,W005,30-Jun-2025,1664,529,1188,1005,290,83
INV000088,P1848,W014,21-Jan-2025,482,506,552,436,129,73
INV000089,P1708,W012,20-Jun-2025,917,31,948,0,256,99
INV000090,P1640,W009,07-Jul-2025,74,272,346,0,171,43
INV000091,P1043,W015,30-Jun-2025,698,620,991,327,52,11
INV000092,P1742,W016,17-Nov-2025,1599,435,1074,960,182,90
INV000093,P1474,W009,16-May-2025,1089,866,939,1016,239,54
INV000094,P1092,W015,12-Sep-2025,1422,106,232,1296,299,96
INV000095,P1245,W015,19-Apr-2025,51,318,369,0,248,60
INV000096,P1542,W008,04-Jul-2025,959,226,1035,150,201,63
INV000097,P1727,W014,03-Aug-2025,1828,643,22,2449,243,116
INV000098,P1508,W018,02-Jan-2025,1061,568,1142,487,99,21
INV000099,P1613,W019,02-Oct-2025,1779,772,1127,1424,71,27
INV000100,P1872,W003,28-Nov-2025,1724,227,739,1212,155,75
INV000101,P1687,W001,09-Jun-2025,547,478,613,412,283,66
INV000102,P1362,W001,04-Nov-2025,1477,483,187,1773,25,14
INV000103,P1644,W008,13-May-2025,1328,75,24,1379,274,91
INV000104,P1599,W004,25-Nov-2025,1905,305,230,1980,89,39
INV000105,P1109,W007,26-Mar-2025,149,853,407,595,174,103
INV000106,P1060,W014,04-Jan-2025,198,498,280,416,213,78
INV000107,P1661,W004,25-Apr-2025,1122,690,541,1271,132,78
INV000108,P1388,W020,14-May-2025,1409,751,337,1823,273,151
INV000109,P1599,W012,26-Mar-2025,830,21,667,184,182,67
INV000110,P1324,W009,01-Sep-2025,639,589,862,366,28,15
INV000111,P1226,W018,28-Oct-2025,1840,912,243,2509,226,95
INV000112,P1151,W003,03-Feb-2025,1196,96,100,1192,190,106
INV000113,P1382,W016,06-Apr-2025,384,577,555,406,121,45
INV000114,P1817,W016,05-Jul-2025,688,437,494,631,32,16
INV000115,P1401,W016,04-Aug-2025,1733,11,604,1140,163,76
INV000116,P1380,W020,26-Feb-2025,1298,706,348,1656,235,85
INV000117,P1576,W003,05-Sep-2025,564,206,56,714,36,21
INV000118,P1979,W002,15-Aug-2025,1305,832,701,1436,222,89
INV000119,P1393,W019,04-Oct-2025,473,650,565,558,221,85
INV000120,P1590,W014,29-Jan-2025,1109,334,238,1205,154,30
INV000121,P1440,W007,29-Aug-2025,1232,935,629,1538,249,51
INV000122,P1606,W011,14-Oct-2025,1025,890,561,1354,298,144
INV000123,P1446,W002,03-Feb-2025,1812,833,458,2187,66,36
INV000124,P1638,W013,25-Feb-2025,1213,179,868,524,124,30
INV000125,P1548,W011,24-Sep-2025,557,342,899,0,109,60
INV000126,P1677,W008,11-Dec-2025,1179,315,161,1333,144,81
INV000127,P1957,W018,21-Feb-2025,1592,254,729,1117,112,58
INV000128,P1151,W006,16-Dec-2025,1421,880,164,2137,145,60
INV000129,P1562,W003,25-Sep-2025,961,114,840,235,170,55
INV000130,P1441,W017,11-Sep-2025,165,764,929,0,296,148
INV000131,P1358,W008,13-Jan-2025,898,888,1168,618,91,20
INV000132,P1240,W002,28-Oct-2025,297,57,66,288,274,70
INV000133,P1053,W011,20-Dec-2025,896,912,908,900,175,41
INV000134,P1403,W014,18-Jun-2025,1904,21,604,1321,154,38
INV000135,P1827,W006,08-Sep-2025,1109,344,633,820,38,10
INV000136,P1097,W009,20-Mar-2025,166,625,355,436,113,33
INV000137,P1407,W003,27-Jul-2025,1338,415,987,766,63,31
INV000138,P1968,W012,06-Jun-2025,1555,805,141,2219,60,28
INV000139,P1952,W014,03-Apr-2025,1379,683,626,1436,158,32
INV000140,P1216,W019,01-Feb-2025,1797,583,365,2015,220,94
INV000141,P1008,W001,11-Apr-2025,844,314,96,1062,197,66
INV000142,P1672,W015,16-Jul-2025,1025,949,518,1456,250,104
INV000143,P1015,W012,07-Jan-2025,684,324,1008,0,297,141
INV000144,P1301,W015,24-Sep-2025,1707,740,1027,1420,254,137
INV000145,P1498,W005,26-Jan-2025,619,602,184,1037,275,107
INV000146,P1875,W010,14-May-2025,26,534,447,113,97,28
INV000147,P1093,W011,10-Aug-2025,1764,7,133,1638,163,90
INV000148,P1663,W014,18-Aug-2025,575,56,571,60,139,63
INV000149,P1534,W008,13-Jan-2025,343,772,729,386,174,35
INV000150,P1132,W009,21-Feb-2025,1394,31,978,447,77,17
INV000151,P1846,W012,05-May-2025,1701,302,134,1869,95,45
INV000152,P1846,W009,05-May-2025,174,178,352,0,262,113
INV000153,P1483,W017,04-Dec-2025,1953,717,307,2363,250,54
INV000154,P1945,W017,01-Sep-2025,1408,682,61,2029,199,98
INV000155,P1607,W020,14-Jun-2025,21,76,97,0,293,64
INV000156,P1904,W012,30-Apr-2025,662,513,929,246,145,84
INV000157,P1961,W002,24-Nov-2025,1673,766,765,1674,142,82
INV000158,P1570,W016,04-Oct-2025,318,4,322,0,149,72
INV000159,P1281,W004,12-Nov-2025,1973,444,603,1814,191,59
INV000160,P1146,W012,05-Aug-2025,1988,580,815,1753,238,75
INV000161,P1563,W018,08-Sep-2025,621,580,608,593,216,113
INV000162,P1193,W011,01-Nov-2025,1995,532,177,2350,73,20
INV000163,P1751,W003,15-Jul-2025,1738,137,964,911,193,77
INV000164,P1928,W015,02-Oct-2025,17,820,837,0,123,55
INV000165,P1246,W017,05-Sep-2025,67,944,666,345,160,50
INV000166,P1553,W007,29-Aug-2025,1286,863,408,1741,248,123
INV000167,P1050,W001,27-Dec-2025,790,469,136,1123,38,21
INV000168,P1181,W017,03-Sep-2025,128,909,28,1009,23,4
INV000169,P1378,W005,13-Feb-2025,792,662,574,880,45,20
INV000170,P1885,W013,27-Aug-2025,679,781,325,1135,216,56
INV000171,P1970,W018,03-Dec-2025,760,498,266,992,269,93
INV000172,P1642,W006,11-Jun-2025,209,695,904,0,274,131
INV000173,P1584,W013,13-Jul-2025,599,360,959,0,263,81
INV000174,P1570,W014,12-Apr-2025,1745,190,1113,822,67,32
INV000175,P1061,W013,28-Jan-2025,208,489,644,53,230,106
INV000176,P1377,W017,22-Aug-2025,128,974,891,211,172,37
INV000177,P1984,W009,09-Jan-2025,1413,687,1051,1049,167,36
INV000178,P1411,W005,16-Nov-2025,1036,143,267,912,217,96
INV000179,P1214,W005,17-Jun-2025,740,785,447,1078,77,37
INV000180,P1240,W008,15-May-2025,777,354,524,607,245,70
INV000181,P1714,W004,11-Jul-2025,934,259,637,556,78,41
INV000182,P1039,W011,03-Dec-2025,1333,466,477,1322,44,19
INV000183,P1970,W018,31-Jan-2025,697,636,662,671,54,12
INV000184,P1877,W005,29-Apr-2025,188,503,122,569,125,46
INV000185,P1568,W019,19-Mar-2025,1971,879,469,2381,289,118
INV000186,P1468,W014,20-Aug-2025,1629,753,542,1840,69,28
INV000187,P1762,W018,10-Jan-2025,1073,263,100,1236,193,85
INV000188,P1548,W017,25-Apr-2025,1177,401,406,1172,217,112
INV000189,P1478,W008,27-Dec-2025,586,603,1068,121,120,45
INV000190,P1323,W010,17-Nov-2025,1083,679,331,1431,42,10
INV000191,P1447,W009,25-Aug-2025,55,498,553,0,160,77
INV000192,P1752,W001,05-Aug-2025,1994,578,373,2199,109,27
INV000193,P1056,W001,04-Jun-2025,61,500,457,104,240,108
INV000194,P1026,W007,10-Apr-2025,1194,112,50,1256,108,38
INV000195,P1721,W001,01-Apr-2025,872,67,576,363,91,39
INV000196,P1373,W015,21-Jan-2025,715,494,452,757,50,10
INV000197,P1804,W017,16-Sep-2025,1733,390,413,1710,221,71
INV000198,P1031,W013,18-Feb-2025,1120,230,386,964,229,92
INV000199,P1908,W003,01-Sep-2025,1511,764,346,1929,100,30
INV000200,P1123,W011,18-Dec-2025,1675,676,524,1827,36,19
INV000201,P1416,W005,19-Mar-2025,1737,333,231,1839,237,122
INV000202,P1968,W016,27-Nov-2025,732,9,490,251,278,134
INV000203,P1109,W003,12-Feb-2025,689,850,308,1231,238,68
INV000204,P1658,W020,19-Aug-2025,1370,794,1172,992,52,26
INV000205,P1728,W006,25-Oct-2025,294,912,604,602,101,36
INV000206,P1429,W010,23-Sep-2025,265,360,625,0,212,106
INV000207,P1080,W003,02-Jun-2025,1175,425,740,860,73,20
INV000208,P1524,W006,14-May-2025,44,563,607,0,288,62
INV000209,P1434,W010,30-Jan-2025,1714,991,1074,1631,159,80
INV000210,P1873,W016,11-Aug-2025,972,127,749,350,279,144
INV000211,P1683,W008,19-Mar-2025,1489,813,451,1851,219,56
INV000212,P1345,W004,25-Dec-2025,1283,171,115,1339,173,98
INV000213,P1059,W013,30-Dec-2025,813,17,296,534,159,62
INV000214,P1591,W004,16-Aug-2025,1678,949,11,2616,269,109
INV000215,P1280,W010,21-Mar-2025,1237,446,1184,499,52,11
INV000216,P1684,W014,08-Dec-2025,333,183,85,431,29,17
INV000217,P1864,W009,02-Dec-2025,1584,717,1158,1143,154,80
INV000218,P1356,W006,26-Apr-2025,342,587,902,27,25,10
INV000219,P1904,W013,19-Apr-2025,1905,381,516,1770,37,16
INV000220,P1520,W016,28-Jan-2025,985,141,461,665,270,137
INV000221,P1531,W015,25-May-2025,1008,209,221,996,270,150
INV000222,P1766,W006,22-Oct-2025,727,331,259,799,55,15
INV000223,P1790,W001,05-Jul-2025,1859,791,1170,1480,286,61
INV000224,P1910,W010,20-Jun-2025,89,790,879,0,229,110
INV000225,P2000,W011,02-May-2025,120,442,562,0,168,35
INV000226,P1152,W008,04-Dec-2025,1535,605,302,1838,179,45
INV000227,P1413,W011,20-Oct-2025,1549,954,583,1920,261,112
INV000228,P1934,W004,03-Nov-2025,23,668,691,0,88,52
INV000229,P1308,W017,06-Oct-2025,1671,744,621,1794,282,108
INV000230,P1006,W006,09-Oct-2025,1727,984,206,2505,126,66
INV000231,P1577,W006,16-Jun-2025,1841,499,536,1804,285,155
INV000232,P1753,W013,15-Jan-2025,782,93,231,644,251,115
INV000233,P1744,W010,03-Dec-2025,1081,21,1102,0,182,58
INV000234,P1811,W005,15-May-2025,212,458,670,0,264,133
INV000235,P1644,W002,10-Oct-2025,643,316,553,406,263,150
INV000236,P1137,W015,21-Nov-2025,371,340,711,0,233,80
INV000237,P1848,W002,16-Jul-2025,254,962,641,575,135,60
INV000238,P1419,W010,29-Jul-2025,1621,879,430,2070,284,95
INV000239,P1848,W017,02-Jul-2025,522,990,246,1266,194,67
INV000240,P1816,W006,12-Mar-2025,299,344,499,144,272,127
INV000241,P1971,W004,20-Mar-2025,1966,911,635,2242,62,15
INV000242,P1015,W017,31-Aug-2025,1083,45,743,385,62,33
INV000243,P1867,W018,16-Mar-2025,1602,187,939,850,161,87
INV000244,P1629,W006,12-Sep-2025,1779,126,687,1218,228,77
INV000245,P1486,W011,06-Sep-2025,573,744,1049,268,45,26
INV000246,P1794,W019,28-Oct-2025,1317,727,1150,894,65,29
INV000247,P1953,W002,03-May-2025,1222,954,267,1909,20,10
INV000248,P1514,W012,23-Apr-2025,1168,989,993,1164,54,19
INV000249,P1088,W005,28-Oct-2025,933,608,28,1513,272,146
INV000250,P1726,W016,04-Dec-2025,1160,637,1145,652,105,29
INV000251,P1231,W013,09-Apr-2025,1485,101,424,1162,91,37
INV000252,P1227,W020,18-Feb-2025,38,608,482,164,86,49
INV000253,P1193,W017,06-Sep-2025,1211,244,868,587,247,119
INV000254,P1199,W010,06-Dec-2025,1650,982,167,2465,150,57
INV000255,P1910,W005,26-Apr-2025,131,957,22,1066,187,74
INV000256,P1364,W014,15-Dec-2025,1849,663,1083,1429,132,37
INV000257,P1107,W015,03-Nov-2025,786,790,922,654,183,97
INV000258,P1180,W002,24-Dec-2025,1031,782,840,973,199,53
INV000259,P1395,W002,07-May-2025,389,410,457,342,174,61
INV000260,P1347,W016,04-Jan-2025,1568,43,917,694,43,24
INV000261,P1311,W006,28-Mar-2025,257,528,785,0,135,34
INV000262,P1949,W002,19-Oct-2025,1481,196,56,1621,219,70
INV000263,P1867,W012,28-Jul-2025,1531,240,314,1457,39,7
INV000264,P1574,W006,29-Apr-2025,1362,820,988,1194,38,16
INV000265,P1987,W002,08-Oct-2025,940,486,1153,273,117,64
INV000266,P1341,W017,22-May-2025,1605,946,916,1635,32,13
INV000267,P1138,W004,05-Apr-2025,235,708,882,61,26,7
INV000268,P1272,W014,12-Oct-2025,111,273,384,0,163,63
INV000269,P1090,W003,25-Mar-2025,1694,9,467,1236,75,25
INV000270,P1953,W007,14-Aug-2025,787,64,851,0,227,133
INV000271,P1219,W017,04-Sep-2025,896,70,654,312,287,135
INV000272,P1445,W003,02-Mar-2025,374,525,585,314,273,112
INV000273,P1203,W009,01-Sep-2025,1976,803,695,2084,58,26
INV000274,P1981,W003,28-Nov-2025,912,782,369,1325,291,137
INV000275,P1159,W013,06-Feb-2025,524,750,1046,228,134,58
INV000276,P1516,W016,25-Feb-2025,1048,695,182,1561,158,76
INV000277,P1951,W015,27-Jun-2025,1585,230,271,1544,165,56
INV000278,P1522,W006,29-Nov-2025,1496,943,981,1458,92,23
INV000279,P1899,W010,18-Sep-2025,1395,951,1198,1148,103,61
INV000280,P1897,W006,08-Dec-2025,1490,577,987,1080,50,17
INV000281,P1768,W003,29-Jan-2025,177,425,602,0,189,107
INV000282,P1743,W001,17-Feb-2025,454,445,538,361,116,36
INV000283,P1577,W018,03-Apr-2025,293,588,875,6,238,97
INV000284,P1581,W012,26-Mar-2025,1222,155,536,841,123,62
INV000285,P1832,W008,20-Oct-2025,1610,63,1155,518,132,35
INV000286,P1427,W015,17-Mar-2025,132,493,625,0,197,62
INV000287,P1946,W011,31-Jan-2025,1190,372,566,996,299,135
INV000288,P1879,W019,24-May-2025,881,370,533,718,125,66
INV000289,P1375,W012,13-Sep-2025,240,946,555,631,211,68
INV000290,P1412,W020,02-Oct-2025,221,677,898,0,129,25
INV000291,P1715,W014,15-Sep-2025,632,438,1070,0,181,101
INV000292,P1923,W005,18-Jan-2025,124,609,575,158,145,60
INV000293,P1097,W006,03-Oct-2025,1947,569,66,2450,47,19
INV000294,P1069,W002,16-Oct-2025,1065,242,648,659,151,36
INV000295,P1249,W009,12-Apr-2025,1019,757,987,789,113,30
INV000296,P1430,W009,29-Jan-2025,138,579,717,0,275,89
INV000297,P1163,W008,06-Jan-2025,1596,156,810,942,218,57
INV000298,P1520,W007,13-Sep-2025,1505,824,324,2005,125,29
INV000299,P1542,W008,18-Jul-2025,1326,230,516,1040,298,92
INV000300,P1951,W003,27-Nov-2025,31,928,573,386,69,24
INV000301,P1746,W008,28-Jul-2025,571,615,781,405,139,47
INV000302,P1251,W017,23-Aug-2025,199,260,278,181,195,69
INV000303,P1787,W010,19-Feb-2025,1854,457,923,1388,114,24
INV000304,P1807,W008,19-Apr-2025,114,50,164,0,231,121
INV000305,P1680,W008,26-Jul-2025,527,443,228,742,135,52
INV000306,P1677,W016,12-Feb-2025,721,444,936,229,210,61
INV000307,P1311,W017,06-Sep-2025,1992,425,1100,1317,129,71
INV000308,P1718,W007,02-Sep-2025,911,255,1031,135,259,153
INV000309,P1135,W008,04-Dec-2025,1452,747,844,1355,59,20
INV000310,P1630,W005,07-Sep-2025,1411,365,402,1374,173,45
INV000311,P1922,W007,15-Oct-2025,1130,362,958,534,185,61
INV000312,P1972,W007,25-Oct-2025,1601,504,1151,954,169,55
INV000313,P1299,W009,22-Jun-2025,552,566,597,521,73,38
INV000314,P1333,W014,28-Aug-2025,773,914,1052,635,57,16
INV000315,P1619,W003,11-Oct-2025,1069,66,1135,0,269,70
INV000316,P1399,W008,14-Nov-2025,1249,207,664,792,246,94
INV000317,P1732,W014,11-Mar-2025,329,476,283,522,190,97
INV000318,P1203,W017,19-May-2025,1004,227,462,769,143,85
INV000319,P1169,W001,22-Aug-2025,1260,480,1191,549,227,121
INV000320,P1051,W010,02-Jun-2025,202,918,4,1116,113,32
INV000321,P1470,W004,21-Mar-2025,853,985,369,1469,147,52
INV000322,P1213,W015,22-Nov-2025,1702,120,788,1034,64,18
INV000323,P1300,W009,17-Feb-2025,823,75,898,0,222,87
INV000324,P1916,W008,09-Oct-2025,851,574,740,685,237,55
INV000325,P1815,W007,03-Jul-2025,885,239,673,451,213,101
INV000326,P1841,W015,12-Dec-2025,1670,175,61,1784,278,90
INV000327,P1594,W002,16-Apr-2025,1702,637,201,2138,206,98
INV000328,P1113,W011,03-Nov-2025,1716,775,1107,1384,193,68
INV000329,P1747,W008,25-May-2025,1629,938,551,2016,156,37
INV000330,P1604,W020,11-Jan-2025,410,998,378,1030,258,113
INV000331,P1909,W015,21-Jun-2025,666,282,411,537,286,99
INV000332,P1480,W013,04-Sep-2025,767,247,203,811,95,32
INV000333,P1174,W007,14-Mar-2025,452,539,55,936,72,16
INV000334,P1595,W009,09-Mar-2025,1499,735,236,1998,191,91
INV000335,P1457,W015,09-May-2025,627,215,58,784,170,85
INV000336,P1660,W014,31-Jan-2025,1419,393,193,1619,272,143
INV000337,P1376,W017,28-Oct-2025,1327,912,128,2111,192,44
INV000338,P1307,W007,02-Jun-2025,739,991,45,1685,207,59
INV000339,P1126,W005,22-Jul-2025,515,852,494,873,290,144
INV000340,P1962,W013,02-Jun-2025,1025,134,1091,68,45,26
INV000341,P1756,W004,07-Sep-2025,1399,456,259,1596,43,12
INV000342,P1466,W005,03-Dec-2025,217,999,920,296,86,46
INV000343,P1235,W003,10-Jan-2025,412,17,55,374,46,26
INV000344,P1629,W020,04-Feb-2025,408,933,238,1103,209,92
INV000345,P1413,W017,04-Feb-2025,1882,190,880,1192,86,50
INV000346,P1636,W017,14-Mar-2025,1564,813,924,1453,161,59
INV000347,P1091,W002,23-Apr-2025,75,442,461,56,52,27
INV000348,P1184,W004,28-Dec-2025,510,275,785,0,197,47
INV000349,P1735,W009,12-May-2025,1598,923,113,2408,173,38
INV000350,P1062,W005,24-Jun-2025,1814,75,394,1495,232,130
INV000351,P1678,W020,15-Feb-2025,1489,380,503,1366,121,51
INV000352,P1412,W011,04-Feb-2025,971,697,857,811,226,77
INV000353,P1004,W011,27-Sep-2025,549,734,406,877,238,66
INV000354,P1765,W013,09-Aug-2025,1021,5,748,278,210,82
INV000355,P1700,W007,15-Jan-2025,1312,154,60,1406,81,29
INV000356,P1816,W007,18-Aug-2025,718,391,1109,0,257,145
INV000357,P1896,W007,29-Jan-2025,174,725,629,270,269,68
INV000358,P1730,W018,28-Nov-2025,1746,124,781,1089,256,112
INV000359,P1842,W020,30-Jun-2025,1615,801,857,1559,175,94
INV000360,P1114,W003,26-Sep-2025,125,16,141,0,293,138
INV000361,P1919,W013,23-Nov-2025,1767,214,501,1480,184,42
INV000362,P1914,W012,08-Jun-2025,953,175,191,937,69,29
INV000363,P1695,W013,27-Jul-2025,303,515,818,0,61,17
INV000364,P1803,W009,27-Dec-2025,635,804,1068,371,50,22
INV000365,P1742,W010,09-Jun-2025,171,978,595,554,201,41
INV000366,P1878,W019,14-Jan-2025,1881,402,1160,1123,281,168
INV000367,P1890,W007,08-Dec-2025,1354,749,1147,956,58,24
INV000368,P1524,W015,13-Dec-2025,55,903,336,622,241,78
INV000369,P1817,W001,13-Dec-2025,1061,286,127,1220,207,74
INV000370,P1916,W019,02-Aug-2025,1516,883,1017,1382,189,83
INV000371,P1298,W008,04-Oct-2025,26,137,112,51,197,74
INV000372,P1047,W017,07-Feb-2025,1137,648,599,1186,172,76
INV000373,P1171,W006,14-Mar-2025,1314,932,593,1653,103,22
INV000374,P1031,W004,09-Dec-2025,991,576,921,646,258,67
INV000375,P1435,W020,17-Oct-2025,516,362,326,552,137,42
INV000376,P1021,W007,12-Dec-2025,208,570,778,0,199,101
INV000377,P1259,W020,29-Nov-2025,1888,681,258,2311,233,93
INV000378,P1253,W007,04-Oct-2025,654,83,297,440,196,60
INV000379,P1707,W019,23-Jan-2025,1005,264,623,646,31,6
INV000380,P1249,W002,14-Apr-2025,742,885,616,1011,143,64
INV000381,P1950,W014,19-Dec-2025,252,958,251,959,149,83
INV000382,P1188,W017,10-Mar-2025,297,24,321,0,208,96
INV000383,P1972,W018,21-Apr-2025,1226,169,897,498,59,25
INV000384,P1568,W017,07-Sep-2025,717,351,1068,0,77,45
INV000385,P1244,W004,27-Nov-2025,924,669,840,753,104,41
INV000386,P1039,W016,21-Aug-2025,1420,135,877,678,92,49
INV000387,P1306,W015,03-Mar-2025,1905,759,340,2324,231,135
INV000388,P1591,W001,04-Sep-2025,94,418,512,0,43,18
INV000389,P1110,W012,06-May-2025,1444,999,763,1680,231,65
INV000390,P1167,W020,29-Jan-2025,223,870,865,228,158,89
INV000391,P1115,W005,01-Jun-2025,1358,453,592,1219,280,162
INV000392,P1678,W017,09-Jul-2025,1089,690,66,1713,258,120
INV000393,P1089,W019,30-Mar-2025,146,560,567,139,76,33
INV000394,P1022,W003,08-May-2025,1704,605,369,1940,73,31
INV000395,P1456,W010,17-Mar-2025,554,17,526,45,88,46
INV000396,P1311,W006,31-Jul-2025,1301,640,465,1476,220,85
INV000397,P1571,W016,01-Mar-2025,1753,935,1097,1591,209,105
INV000398,P1939,W013,06-Sep-2025,704,95,276,523,164,70
INV000399,P1858,W013,04-Mar-2025,1863,685,828,1720,215,66
INV000400,P1539,W010,06-May-2025,111,460,571,0,183,76
INV000401,P1643,W011,09-Jan-2025,372,152,524,0,54,30
INV000402,P1812,W004,23-Dec-2025,384,615,540,459,170,54
INV000403,P1438,W018,05-Nov-2025,843,62,132,773,97,24
INV000404,P1659,W015,26-Jun-2025,405,598,863,140,64,18
INV000405,P1217,W014,17-Jun-2025,1371,665,220,1816,239,106
INV000406,P1611,W015,18-Oct-2025,1585,785,484,1886,175,39
INV000407,P1237,W002,26-Feb-2025,121,670,102,689,253,102
INV000408,P1192,W004,07-Nov-2025,1324,208,875,657,205,65
