Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Sales_Amount,Discount,Profit
SO10104,C25674,P1314,20-Feb-2025,11,54780,3016,4904
SO10105,C12875,P1416,26-Jan-2025,8,37760,2817,4535
SO10106,C26853,P1609,18-Jun-2025,11,80520,6947,17033
SO10107,C39033,P1826,11-Jan-2025,8,322960,4356,73052
SO10108,C33163,P1241,30-Apr-2025,13,616330,82324,26031
SO10109,C39491,P1927,22-Aug-2025,7,196000,14398,19069
SO10110,C29061,P1246,05-Sep-2025,15,407700,6385,102695
SO10111,C13214,P1343,30-Apr-2025,4,212800,15024,39660
SO10112,C34889,P1848,19-Aug-2025,5,170900,336,49634
SO10113,C21163,P1921,27-Feb-2025,14,269220,13964,38452
SO10114,C37776,P1651,13-Mar-2025,5,73850,316,13244
SO10115,C28320,P1922,29-Oct-2025,19,619970,44277,60869
SO10116,C27191,P1861,17-Jun-2025,18,960840,86440,88718
SO10117,C18176,P1768,27-Oct-2025,9,419670,54998,63784
SO10118,C21115,P1321,29-May-2025,15,964800,129801,136149
SO10119,C11652,P1910,19-Jan-2025,9,641520,62442,44010
SO10120,C36458,P1745,02-Aug-2025,17,1209040,112531,211047
SO10121,C32041,P1097,17-Sep-2025,7,403480,24997,92484
SO10122,C38943,P1065,28-Jun-2025,16,516320,33474,124750
SO10123,C31454,P1164,26-Nov-2025,9,83790,1175,20713
SO10124,C17344,P1647,07-Sep-2025,16,158560,12229,9547
SO10125,C37880,P1889,14-Mar-2025,7,58870,6185,9607
SO10126,C39315,P1311,04-Jan-2025,13,497640,60573,60119
SO10127,C25967,P1553,04-May-2025,15,213150,12553,38357
SO10128,C17846,P1546,16-Aug-2025,5,236500,15359,28556
SO10129,C36468,P1985,22-Apr-2025,19,1537480,20769,425845
SO10130,C13427,P1746,22-Sep-2025,12,756840,53085,87951
SO10131,C17673,P1472,02-May-2025,19,181260,12934,16402
SO10132,C11165,P1002,06-Apr-2025,2,131480,13731,18227
SO10133,C13549,P1501,27-Aug-2025,2,20060,2083,3283
SO10134,C18164,P1851,19-Jan-2025,12,306480,1803,50265
SO10135,C22167,P1962,20-Dec-2025,7,236880,17974,33014
SO10136,C27614,P1030,27-May-2025,19,412300,37161,56851
SO10137,C33436,P1474,03-Mar-2025,1,69220,3909,8063
SO10138,C16827,P1535,02-Feb-2025,18,1254600,170185,27653
SO10139,C31303,P1270,27-Jan-2025,1,57980,860,13824
SO10140,C21680,P1410,01-Jun-2025,19,1477250,3138,415869
SO10141,C26750,P1269,29-Dec-2025,5,111150,11665,17055
SO10142,C25491,P1145,10-Feb-2025,1,4890,549,146
SO10143,C11689,P1829,12-Nov-2025,10,398400,15829,98441
SO10144,C17611,P1097,03-Jan-2025,3,172920,5289,45060
SO10145,C10878,P1211,09-Sep-2025,17,87210,12388,13027
SO10146,C31808,P1854,09-Jul-2025,10,60900,1002,7628
SO10147,C13819,P1283,20-Feb-2025,19,970710,81703,210175
SO10148,C15394,P1407,23-Feb-2025,5,310200,7342,80318
SO10149,C29860,P1973,05-Apr-2025,1,17690,2131,2400
SO10150,C35144,P1123,08-Nov-2025,2,123780,5924,21554
SO10151,C36187,P1095,02-Apr-2025,7,154000,11452,10171
SO10152,C35379,P1710,21-Nov-2025,3,108060,669,18129
SO10153,C16392,P1002,07-Apr-2025,5,328700,27544,52351
SO10154,C13663,P1138,15-Oct-2025,14,746900,3093,129053
SO10155,C17132,P1333,29-Jul-2025,9,159840,23303,11077
SO10156,C34941,P1930,03-Dec-2025,17,888420,125306,-3433
SO10157,C12484,P1874,18-Aug-2025,13,308230,881,50469
SO10158,C34410,P1191,28-May-2025,1,62870,2133,6620
SO10159,C13993,P1522,13-Feb-2025,11,63800,4240,6705
SO10160,C19126,P1793,27-Jul-2025,17,1018130,75513,74308
SO10161,C23148,P1601,04-Jul-2025,6,60780,8054,3646
SO10162,C18065,P1105,25-Oct-2025,19,1345770,68702,336435
SO10163,C12409,P1870,23-Apr-2025,4,23560,2909,2239
SO10164,C17326,P1403,29-Oct-2025,12,304080,9682,71006
SO10165,C22506,P1878,16-Oct-2025,2,1140,168,24
SO10166,C31370,P1843,16-Oct-2025,15,593850,23075,121075
SO10167,C13281,P1730,15-Sep-2025,19,440800,50350,31046
SO10168,C35269,P1212,24-Nov-2025,14,782600,79411,135111
SO10169,C20111,P1549,19-Oct-2025,18,774360,63516,96234
SO10170,C23320,P1858,26-Jul-2025,8,552000,8379,99933
SO10171,C28854,P1830,27-Sep-2025,17,436560,41955,88520
SO10172,C18999,P1753,30-Nov-2025,10,442900,64446,11234
SO10173,C33482,P1701,20-May-2025,3,194160,14499,19410
SO10174,C15495,P1469,25-Apr-2025,3,118560,5586,20328
SO10175,C14658,P1873,20-Feb-2025,19,1471550,166030,176692
SO10176,C18038,P1611,23-Jun-2025,10,251400,23740,25970
SO10177,C25686,P1122,24-Feb-2025,1,44260,5515,2859
SO10178,C29880,P1320,07-Mar-2025,18,473580,19621,116279
SO10179,C26190,P1253,12-May-2025,1,21280,483,4242
SO10180,C14455,P1847,13-Apr-2025,10,91500,4638,20582
SO10181,C39278,P1480,14-Jun-2025,17,442850,28444,85320
SO10182,C34144,P1224,16-Feb-2025,14,274960,10285,49803
SO10183,C23483,P1661,19-Jan-2025,12,64200,2627,12433
SO10184,C12037,P1674,17-Jun-2025,10,390200,36200,38970
SO10185,C39173,P1610,30-Jul-2025,9,506880,56996,61669
SO10186,C31043,P1399,20-Nov-2025,15,609600,58907,38428
SO10187,C35218,P1130,21-Nov-2025,12,325320,15205,40523
SO10188,C20219,P1595,19-Mar-2025,10,697900,37348,86512
SO10189,C28237,P1072,21-May-2025,1,50520,4689,3451
SO10190,C30290,P1297,02-Jul-2025,12,143880,13065,23811
SO10191,C28036,P1014,29-Jan-2025,2,102100,3891,27371
SO10192,C21332,P1068,09-Nov-2025,10,179300,24560,16300
SO10193,C11193,P1366,08-Jul-2025,11,404910,28411,51823
SO10194,C12105,P1796,04-Sep-2025,18,152280,6948,25560
SO10195,C31503,P1834,06-Apr-2025,14,673400,4464,147856
SO10196,C12136,P1380,01-Aug-2025,2,44220,4873,4679
SO10197,C23943,P1233,18-Mar-2025,17,205190,10444,39553
SO10198,C34899,P1473,09-Oct-2025,11,387200,33743,57128
SO10199,C31173,P1968,27-Aug-2025,8,364400,41761,52239
SO10200,C25084,P1286,25-Jan-2025,3,256080,20440,56357
SO10201,C32719,P1400,18-Apr-2025,19,1282880,55349,165222
SO10202,C18882,P1319,28-Apr-2025,2,75860,8698,11212
SO10203,C34989,P1024,01-Nov-2025,9,607230,8077,118886
SO10204,C27172,P1839,05-Mar-2025,14,71680,1366,15294
SO10205,C31097,P1391,01-Aug-2025,19,1033600,46200,120848
SO10206,C39961,P1252,07-Aug-2025,2,30300,1113,5947
SO10207,C28042,P1857,09-Aug-2025,18,1073340,156734,168994
SO10208,C23583,P1127,20-Apr-2025,12,168480,1031,48457
SO10209,C33576,P1696,15-Jan-2025,15,693300,102699,59631
SO10210,C15531,P1311,26-Dec-2025,12,459360,62153,49255
SO10211,C38750,P1072,08-Nov-2025,19,959880,71818,82842
SO10212,C34510,P1204,05-Feb-2025,10,159500,5648,36202
SO10213,C24026,P1480,14-Sep-2025,4,104200,4155,22613
SO10214,C16390,P1066,08-Nov-2025,1,21280,2594,3416
SO10215,C15096,P1383,23-Mar-2025,10,497500,35586,97114
SO10216,C22482,P1670,27-Jun-2025,4,113480,11528,13824
SO10217,C17690,P1081,15-Sep-2025,5,371700,21026,81279
SO10218,C29613,P1694,18-Jun-2025,9,601830,20183,151978
SO10219,C31208,P1078,22-Jan-2025,10,136200,2216,22994
SO10220,C19828,P1532,06-May-2025,1,17240,1903,1614
SO10221,C12430,P1038,04-Mar-2025,11,286330,31202,39495
SO10222,C18752,P1333,12-Apr-2025,13,230880,33933,15727
SO10223,C17495,P1025,31-Dec-2025,10,381900,23912,64618
SO10224,C11203,P1284,11-May-2025,3,38070,4048,2756
SO10225,C38591,P1222,01-Mar-2025,7,165690,24455,14241
SO10226,C11927,P1219,03-Apr-2025,9,18810,2149,3503
SO10227,C37117,P1226,24-Feb-2025,11,652520,7614,175382
SO10228,C26404,P1123,18-Nov-2025,13,804570,28302,150305
SO10229,C20046,P1715,29-Dec-2025,19,1407330,37748,303701
SO10230,C34474,P1786,28-Jan-2025,16,1119200,33755,150293
SO10231,C31311,P1904,05-Aug-2025,12,496320,52693,40715
SO10232,C26527,P1262,29-Jan-2025,6,192000,661,37523
SO10233,C24098,P1156,05-Feb-2025,13,560170,43057,40325
SO10234,C26422,P1437,17-Oct-2025,3,184470,9666,27555
SO10235,C26454,P1296,06-Aug-2025,19,1092310,12633,268054
SO10236,C27732,P1835,28-Apr-2025,13,70850,7985,12308
SO10237,C25564,P1826,20-Jun-2025,4,161480,7146,31558
SO10238,C34919,P1130,15-Jun-2025,3,81330,5203,8729
SO10239,C13009,P1248,20-Oct-2025,7,269780,5995,72839
SO10240,C38773,P1936,03-Sep-2025,5,119550,2616,26384
SO10241,C25447,P1038,23-Sep-2025,13,338390,28862,54689
SO10242,C32293,P1826,30-Apr-2025,3,121110,12686,16342
SO10243,C19222,P1498,31-Jul-2025,4,271440,2827,57529
SO10244,C12170,P1492,23-Sep-2025,12,511680,64217,46723
SO10245,C39766,P1337,09-Mar-2025,18,792360,13047,194889
SO10246,C19979,P1426,28-May-2025,18,1125720,140166,131472
SO10247,C28338,P1795,05-Jul-2025,13,793000,80315,143363
SO10248,C25100,P1456,05-Jun-2025,16,249280,13685,47915
SO10249,C37366,P1133,27-Aug-2025,11,802120,51362,147529
SO10250,C37901,P1379,21-May-2025,16,639040,46297,39911
SO10251,C24271,P1910,20-Jan-2025,1,71280,9660,2168
SO10252,C24865,P1538,15-Oct-2025,2,160320,18046,28086
SO10253,C10063,P1133,27-Jan-2025,18,1312560,31701,293757
SO10254,C33992,P1300,24-Aug-2025,12,163680,11863,19001
SO10255,C24131,P1642,01-Jan-2025,15,15600,1650,1995
SO10256,C21639,P1833,17-Jul-2025,13,397540,48775,9062
SO10257,C36605,P1672,01-Apr-2025,19,546440,7685,137608
SO10258,C20027,P1476,23-Dec-2025,19,394060,27021,41626
SO10259,C12309,P1649,28-Aug-2025,10,423100,21019,71681
SO10260,C24755,P1305,14-Feb-2025,14,292600,29202,10264
SO10261,C18385,P1433,29-Jun-2025,2,39820,4498,4766
SO10262,C14008,P1038,18-Oct-2025,17,442510,1345,107914
SO10263,C36537,P1160,16-Mar-2025,13,243880,27053,7865
SO10264,C34952,P1321,30-Aug-2025,18,1157760,17262,301878
SO10265,C21584,P1697,27-Feb-2025,4,251080,16755,22501
SO10266,C20291,P1421,29-Dec-2025,10,457400,1814,79266
SO10267,C11363,P1018,05-May-2025,7,40530,1475,5343
SO10268,C28631,P1225,24-Feb-2025,19,598690,34096,135650
SO10269,C13116,P1827,02-Jan-2025,5,188750,25183,1932
SO10270,C37588,P1733,14-Jul-2025,4,192880,6354,45710
SO10271,C25059,P1931,18-Dec-2025,6,41460,3518,4570
SO10272,C10111,P1605,07-Feb-2025,19,723900,73864,141007
SO10273,C11981,P1855,27-Mar-2025,4,296880,18951,68529
SO10274,C34350,P1886,19-Jul-2025,14,49280,4930,9728
SO10275,C11490,P1440,19-Jul-2025,14,327600,19731,29703
SO10276,C22902,P1656,04-Aug-2025,2,117340,17386,-1912
SO10277,C26320,P1770,08-Jun-2025,18,302400,17190,65610
SO10278,C36853,P1411,21-Apr-2025,17,1127780,17778,244719
SO10279,C28104,P1314,08-May-2025,1,4980,194,526
SO10280,C29779,P1662,12-Nov-2025,9,629190,79917,39414
SO10281,C10589,P1587,30-Sep-2025,8,343760,49473,32239
SO10282,C31879,P1794,01-May-2025,17,102340,3742,21537
SO10283,C27370,P1490,05-May-2025,13,130650,11103,29405
SO10284,C23949,P1277,08-Jul-2025,8,47040,6808,5656
SO10285,C33609,P1243,03-Nov-2025,12,930480,100491,168621
SO10286,C24445,P1975,03-Aug-2025,10,238600,26109,28801
SO10287,C11496,P1440,19-Jul-2025,9,210600,18863,12916
SO10288,C34438,P1276,23-May-2025,7,31360,3373,3795
SO10289,C22735,P1696,01-Feb-2025,12,554640,43562,86302
SO10290,C21291,P1770,31-Aug-2025,5,84000,3835,19165
SO10291,C16385,P1407,23-Jun-2025,3,186120,11002,41594
SO10292,C24450,P1201,19-Sep-2025,16,1274720,38875,334933
SO10293,C31994,P1112,15-Jun-2025,7,259980,25734,25947
SO10294,C16853,P1453,21-Aug-2025,6,506340,21823,131237
SO10295,C23530,P1646,11-Jun-2025,7,364700,24458,42917
SO10296,C29430,P1852,12-Feb-2025,2,74320,2146,8688
SO10297,C26028,P1913,02-Sep-2025,3,73170,6716,13144
SO10298,C14877,P1148,15-Mar-2025,2,110020,665,22501
SO10299,C16360,P1233,20-Jan-2025,6,72420,9342,8304
SO10300,C29338,P1758,11-Sep-2025,1,35230,2405,5503
SO10301,C10580,P1005,14-Dec-2025,13,498290,38348,95058
SO10302,C11861,P1441,23-Sep-2025,4,235120,13630,20874
SO10303,C37178,P1788,07-Feb-2025,14,29680,3400,1794
SO10304,C13914,P1668,21-Apr-2025,7,129920,13171,14563
SO10305,C20430,P1541,04-Jun-2025,2,144440,499,31341
SO10306,C25289,P1400,05-Sep-2025,8,540160,64842,28030
SO10307,C29052,P1740,19-Jan-2025,13,463710,44652,74688
SO10308,C10963,P1154,13-Apr-2025,2,49120,6607,1949
SO10309,C30775,P1370,17-Sep-2025,10,45300,2909,7311
SO10310,C32050,P1863,07-Apr-2025,18,262260,14678,52984
SO10311,C19245,P1592,29-Dec-2025,6,479880,41998,90008
SO10312,C26370,P1109,17-Dec-2025,19,838090,56502,88810
SO10313,C30400,P1786,28-May-2025,12,839400,101171,36865
SO10314,C33328,P1256,22-Sep-2025,16,155840,4756,26668
SO10315,C39573,P1477,24-May-2025,3,51090,2922,4377
SO10316,C36949,P1893,22-Mar-2025,3,5040,61,1109
SO10317,C18791,P1609,08-Nov-2025,9,65880,828,18792
SO10318,C14704,P1222,06-Feb-2025,18,426060,9335,90169
SO10319,C34842,P1572,11-Nov-2025,11,566940,31963,113226
SO10320,C20007,P1859,11-Jul-2025,10,333100,41158,34892
SO10321,C37853,P1784,21-Oct-2025,10,498600,22662,56608
SO10322,C32238,P1468,10-Feb-2025,18,130140,17362,4058
SO10323,C11585,P1399,04-Apr-2025,17,690880,69572,40741
SO10324,C21610,P1039,20-Nov-2025,2,62620,978,9294
SO10325,C35251,P1992,21-Jan-2025,18,1239120,168356,188944
SO10326,C39708,P1007,19-Mar-2025,7,153510,12699,22644
SO10327,C26994,P1881,25-Dec-2025,10,247800,35475,22645
SO10328,C30348,P1046,18-Oct-2025,19,698820,45483,112217
SO10329,C32198,P1540,08-Mar-2025,12,141600,8997,31167
SO10330,C28408,P1055,05-Sep-2025,19,1199280,97239,133174
SO10331,C17160,P1317,04-Sep-2025,3,180150,14551,24680
SO10332,C15835,P1182,13-Mar-2025,7,441420,39297,34658
SO10333,C13767,P1634,25-Oct-2025,13,749840,21743,152717
SO10334,C33469,P1862,07-Oct-2025,15,664950,7737,150618
SO10335,C22486,P1030,20-Apr-2025,15,325500,42157,32063
SO10336,C10088,P1546,23-Jan-2025,8,378400,1999,68265
SO10337,C27259,P1799,27-Nov-2025,7,263340,13193,49135
SO10338,C33267,P1229,15-Oct-2025,10,4500,602,598
SO10339,C29728,P1688,06-Jan-2025,4,29760,3659,1081
SO10340,C30774,P1118,25-Jan-2025,11,170940,13165,15072
SO10341,C18814,P1787,31-Aug-2025,12,665640,68715,129093
SO10342,C13312,P1240,16-Aug-2025,15,315600,33173,36337
SO10343,C32765,P1620,30-Aug-2025,1,5620,376,904
SO10344,C11768,P1146,13-Jun-2025,17,1145800,99818,213747
SO10345,C25763,P1587,12-Jan-2025,17,730490,30155,143483
SO10346,C17080,P1966,21-Jun-2025,3,180420,15098,14401
SO10347,C31813,P1619,15-Aug-2025,16,384000,17988,57628
SO10348,C29348,P1924,03-Feb-2025,1,57740,4100,6256
SO10349,C10368,P1453,28-Oct-2025,17,1434630,64242,369428
SO10350,C14314,P1131,23-Feb-2025,8,40720,558,5698
SO10351,C36720,P1169,23-Aug-2025,17,1056550,47237,173491
SO10352,C30571,P1024,01-Sep-2025,17,1146990,144200,95619
SO10353,C38676,P1582,18-Dec-2025,4,104480,2069,17623
SO10354,C20987,P1904,21-Feb-2025,18,744480,15862,124250
SO10355,C38150,P1262,21-Oct-2025,8,256000,33300,17612
SO10356,C16651,P1094,02-Apr-2025,19,618640,1222,91403
SO10357,C15494,P1265,27-Jan-2025,19,718960,20640,82530
SO10358,C20057,P1173,22-Jul-2025,15,1036950,83003,116992
SO10359,C30328,P1248,24-Mar-2025,8,308320,41609,48487
SO10360,C12359,P1833,03-Apr-2025,9,275220,40827,-786
SO10361,C26506,P1392,18-Jan-2025,13,408850,30312,75469
SO10362,C33333,P1393,29-Jan-2025,18,362700,6270,78420
SO10363,C32426,P1926,11-Apr-2025,18,10260,661,1463
SO10364,C11207,P1949,18-Mar-2025,4,118640,1287,27221
SO10365,C12941,P1861,16-May-2025,11,587180,37526,69515
SO10366,C10363,P1363,05-Nov-2025,12,740040,49707,143241
SO10367,C11929,P1365,08-Dec-2025,14,982520,88224,209458
SO10368,C15863,P1881,20-Aug-2025,13,322140,23438,52118
SO10369,C23690,P1718,18-Dec-2025,2,95320,2216,11720
SO10370,C27990,P1966,06-Jun-2025,12,721680,66106,51890
SO10371,C24411,P1060,28-Nov-2025,1,29620,4001,2909
SO10372,C30103,P1558,19-Mar-2025,6,167700,5556,45366
SO10373,C37114,P1121,05-Mar-2025,19,352070,6942,81693
SO10374,C14870,P1860,25-Nov-2025,13,879710,123998,114747
SO10375,C35953,P1615,30-Sep-2025,13,222430,23702,37619
SO10376,C30859,P1014,15-Aug-2025,1,51050,2043,13588
SO10377,C35232,P1566,30-Jan-2025,5,114900,7989,24041
SO10378,C11941,P1998,15-Apr-2025,19,580830,74005,59337
SO10379,C17209,P1370,15-Dec-2025,6,27180,2206,3926
SO10380,C31453,P1142,01-Apr-2025,16,19040,195,2461
SO10381,C24619,P1919,21-May-2025,9,49500,941,5548
SO10382,C13786,P1828,15-Dec-2025,9,40860,965,10105
SO10383,C30449,P1250,27-Sep-2025,15,208050,13075,23000
SO10384,C10316,P1689,23-Dec-2025,6,294660,26413,16613
SO10385,C28865,P1060,16-Mar-2025,19,562780,51893,79397
SO10386,C11395,P1227,01-Nov-2025,12,617040,49316,138820
SO10387,C35084,P1015,07-Oct-2025,9,411480,53048,69793
SO10388,C38880,P1029,16-Nov-2025,6,266700,5118,71244
SO10389,C36580,P1675,19-May-2025,17,796450,3250,218838
SO10390,C12947,P1393,22-Dec-2025,9,181350,11284,31061
SO10391,C12456,P1592,17-Oct-2025,10,799800,40831,179179
SO10392,C10156,P1947,09-Aug-2025,5,177750,10432,26748
SO10393,C36854,P1319,14-Aug-2025,14,531020,62461,76909
SO10394,C25971,P1665,06-Feb-2025,4,223280,14655,42189
SO10395,C29369,P1424,25-Aug-2025,15,900900,1948,267587
SO10396,C38298,P1838,12-Jun-2025,16,64480,2656,6064
SO10397,C11750,P1079,20-Aug-2025,18,856440,55803,177189
SO10398,C38301,P1333,04-Oct-2025,9,159840,12044,22336
SO10399,C14536,P1074,24-Oct-2025,8,380880,2668,81524
SO10400,C33300,P1402,29-Jan-2025,18,1146060,8943,314481
SO10401,C26810,P1051,19-Oct-2025,15,526800,60133,92822
SO10402,C20175,P1857,20-Sep-2025,7,417410,33067,93605
SO10403,C20486,P1463,11-Jul-2025,9,175050,23313,22893
SO10404,C10143,P1367,01-Sep-2025,3,196170,1337,46123
SO10405,C30173,P1606,28-Feb-2025,7,126980,866,18363
SO10406,C13900,P1399,21-Feb-2025,11,447040,11643,59736
SO10407,C32720,P1320,18-Apr-2025,4,105240,3204,26996
SO10408,C28864,P1868,13-Aug-2025,10,197800,7913,40777
SO10409,C35394,P1747,16-May-2025,17,18530,717,4689
SO10410,C37878,P1706,09-Sep-2025,2,6520,564,1214
SO10411,C12170,P1766,27-Apr-2025,18,1298700,75307,227147
SO10412,C18720,P1712,01-Dec-2025,9,242190,11113,38378
SO10413,C21743,P1400,26-Apr-2025,10,675200,3674,112416
SO10414,C10121,P1608,10-Dec-2025,8,656400,91796,84892
SO10415,C36915,P1452,25-Sep-2025,11,766700,100872,132559
SO10416,C32706,P1865,14-Feb-2025,4,297120,38982,41798
SO10417,C35025,P1585,23-Mar-2025,16,918080,105125,113163
SO10418,C23898,P1014,15-Nov-2025,17,867850,36492,229235
SO10419,C25516,P1983,26-May-2025,3,247860,34374,34806
SO10420,C25579,P1475,09-Jan-2025,7,119350,17172,412
SO10421,C29990,P1956,02-Jun-2025,12,818400,107806,56030
SO10422,C39984,P1952,27-Oct-2025,19,711550,70350,147808
SO10423,C17722,P1225,04-Jul-2025,15,472650,68791,65219
