Purchase_ID,Supplier_ID,Product_ID,Order_Date,Received_Date,Quantity,Purchase_Cost,Status
PO10095,S100,P1285,18-May-2025,28-May-2025,2916,81624672,Completed
PO10096,S028,P1754,13-Sep-2025,30-Sep-2025,4414,2899998,Completed
PO10097,S047,P1907,16-Sep-2025,05-Oct-2025,2774,5134674,Completed
PO10098,S034,P1293,10-Oct-2025,22-Oct-2025,2799,5821920,Completed
PO10099,S060,P1608,17-Jan-2025,07-Feb-2025,2892,173415888,Completed
PO10100,S021,P1979,23-Mar-2025,13-Apr-2025,2788,103337220,Completed
PO10101,S079,P1185,04-Aug-2025,20-Aug-2025,2842,30466240,Completed
PO10102,S018,P1493,20-Mar-2025,27-Mar-2025,744,13254360,Cancelled
PO10103,S092,P1920,27-Oct-2025,01-Nov-2025,3930,186757530,Completed
PO10104,S046,P1664,20-Feb-2025,06-Mar-2025,1585,26206390,Completed
PO10105,S082,P1224,07-Jan-2025,13-Jan-2025,2443,37495164,Completed
PO10106,S075,P1891,24-Mar-2025,04-Apr-2025,4625,41435375,Completed
PO10107,S081,P1215,20-Apr-2025,09-May-2025,4989,212740938,Partially Received
PO10108,S062,P1123,01-Jan-2025,19-Jan-2025,1089,52436439,Cancelled
PO10109,S060,P1815,01-Oct-2025,06-Oct-2025,2706,59992020,Completed
PO10110,S053,P1090,02-Dec-2025,15-Dec-2025,225,10121175,Pending
PO10111,S042,P1024,31-Jan-2025,10-Feb-2025,2763,147441969,Completed
PO10112,S011,P1318,14-Jun-2025,04-Jul-2025,2224,122242160,Cancelled
PO10113,S041,P1756,13-Jul-2025,31-Jul-2025,346,19005088,Completed
PO10114,S083,P1008,04-Oct-2025,12-Oct-2025,1165,52137245,Pending
PO10115,S085,P1484,10-Dec-2025,18-Dec-2025,3728,126002672,Completed
PO10116,S066,P1944,06-Jul-2025,25-Jul-2025,4790,128635450,Completed
PO10117,S034,P1086,18-Oct-2025,28-Oct-2025,4527,207766665,Pending
PO10118,S018,P1486,19-Jul-2025,26-Jul-2025,2807,154814471,Completed
PO10119,S060,P1636,18-Jan-2025,10-Feb-2025,1608,9892416,Completed
PO10120,S089,P1751,03-Mar-2025,13-Mar-2025,4736,206295424,Completed
PO10121,S028,P1470,30-Oct-2025,08-Nov-2025,345,3414120,Completed
PO10122,S017,P1542,01-Jun-2025,06-Jun-2025,4966,285952212,Completed
PO10123,S022,P1549,04-Sep-2025,14-Sep-2025,1214,41452030,Pending
PO10124,S046,P1310,24-May-2025,08-Jun-2025,2046,22933614,Completed
PO10125,S066,P1361,08-Apr-2025,15-Apr-2025,1035,38829060,Completed
PO10126,S042,P1707,24-Jan-2025,11-Feb-2025,2399,3483348,Completed
PO10127,S099,P1790,14-May-2025,25-May-2025,1811,80479029,Partially Received
PO10128,S070,P1626,03-Dec-2025,27-Dec-2025,2875,94256875,Completed
PO10129,S056,P1144,08-Jan-2025,24-Jan-2025,1074,62122308,Completed
PO10130,S053,P1559,20-Jan-2025,05-Feb-2025,2922,167284500,Completed
PO10131,S100,P1302,26-Mar-2025,07-Apr-2025,4127,408573,Completed
PO10132,S098,P1998,01-Oct-2025,12-Oct-2025,433,10198016,Completed
PO10133,S050,P1007,07-Nov-2025,10-Nov-2025,304,5131824,Completed
PO10134,S049,P1379,19-Sep-2025,10-Oct-2025,1211,41842472,Partially Received
PO10135,S076,P1146,11-Apr-2025,29-Apr-2025,3939,192833745,Completed
PO10136,S047,P1213,01-Mar-2025,16-Mar-2025,3029,105409200,Completed
PO10137,S063,P1798,21-Jul-2025,24-Jul-2025,983,40825956,Completed
PO10138,S028,P1839,03-Aug-2025,08-Aug-2025,1806,7097580,Completed
PO10139,S054,P1505,10-Jan-2025,03-Feb-2025,412,10237788,Pending
PO10140,S042,P1730,14-Jul-2025,05-Aug-2025,1317,24912372,Completed
PO10141,S022,P1957,04-Oct-2025,19-Oct-2025,2226,23201598,Completed
PO10142,S080,P1512,13-Jul-2025,31-Jul-2025,1276,61565724,Pending
PO10143,S072,P1958,15-Oct-2025,04-Nov-2025,1838,102799340,Completed
PO10144,S046,P1744,03-May-2025,18-May-2025,1985,4418610,Pending
PO10145,S076,P1687,27-Sep-2025,05-Oct-2025,3001,34670553,Completed
PO10146,S062,P1786,22-Oct-2025,27-Oct-2025,4220,246646340,Completed
PO10147,S046,P1607,30-Jan-2025,09-Feb-2025,4953,258739767,Completed
PO10148,S030,P1543,08-Aug-2025,12-Aug-2025,1740,32699820,Completed
PO10149,S034,P1468,21-Jan-2025,28-Jan-2025,4234,25573360,Completed
PO10150,S092,P1239,23-Oct-2025,05-Nov-2025,4641,277791696,Completed
PO10151,S046,P1206,29-Aug-2025,17-Sep-2025,3355,193127220,Completed
PO10152,S042,P1892,14-Dec-2025,22-Dec-2025,4673,94548809,Completed
PO10153,S031,P1425,03-Feb-2025,07-Feb-2025,3155,183728270,Completed
PO10154,S067,P1870,04-Jan-2025,14-Jan-2025,2451,11281953,Partially Received
PO10155,S041,P1196,07-May-2025,27-May-2025,3859,90481973,Completed
PO10156,S095,P1198,25-Sep-2025,12-Oct-2025,1655,25649190,Completed
PO10157,S100,P1540,14-Jan-2025,04-Feb-2025,4700,39729100,Completed
PO10158,S024,P1374,27-May-2025,08-Jun-2025,1780,77668520,Completed
PO10159,S096,P1006,21-Apr-2025,28-Apr-2025,2766,40740414,Completed
PO10160,S059,P1852,10-Mar-2025,16-Mar-2025,4830,153318690,Completed
PO10161,S083,P1238,18-Feb-2025,07-Mar-2025,1043,16972739,Completed
PO10162,S045,P1534,22-Mar-2025,04-Apr-2025,4680,53197560,Pending
PO10163,S052,P1085,22-Jun-2025,16-Jul-2025,3289,132859155,Cancelled
PO10164,S068,P1848,01-Nov-2025,18-Nov-2025,1346,32554356,Completed
PO10165,S094,P1399,20-Mar-2025,31-Mar-2025,739,25237589,Completed
PO10166,S072,P1253,03-Jul-2025,08-Jul-2025,2493,41271615,Completed
PO10167,S026,P1945,09-Jul-2025,17-Jul-2025,800,38097600,Completed
PO10168,S098,P1649,14-Mar-2025,18-Mar-2025,1465,48403600,Completed
PO10169,S057,P1044,16-Nov-2025,10-Dec-2025,1238,55155376,Pending
PO10170,S015,P1806,25-Oct-2025,02-Nov-2025,2307,72506703,Completed
PO10171,S038,P1076,13-Jul-2025,26-Jul-2025,4254,1480392,Partially Received
PO10172,S050,P1347,26-Apr-2025,19-May-2025,4325,145203225,Completed
PO10173,S019,P1618,13-Mar-2025,20-Mar-2025,4726,170121822,Completed
PO10174,S013,P1893,01-Jun-2025,12-Jun-2025,1915,2470350,Completed
PO10175,S074,P1791,06-Sep-2025,28-Sep-2025,4027,208590546,Pending
PO10176,S079,P1492,23-Jul-2025,05-Aug-2025,4322,144333190,Completed
PO10177,S094,P1948,04-Mar-2025,10-Mar-2025,1951,47992649,Completed
PO10178,S071,P1478,27-Apr-2025,02-May-2025,1513,32293472,Completed
PO10179,S040,P1819,14-May-2025,24-May-2025,1814,78752996,Completed
PO10180,S093,P1640,24-Sep-2025,02-Oct-2025,2854,53389778,Completed
PO10181,S028,P1365,23-Jun-2025,29-Jun-2025,1055,51607435,Completed
PO10182,S017,P1978,05-Jun-2025,17-Jun-2025,2490,31269420,Pending
PO10183,S016,P1151,28-Apr-2025,01-May-2025,4971,3648714,Completed
PO10184,S095,P1057,09-Sep-2025,16-Sep-2025,4209,1359507,Pending
PO10185,S011,P1926,19-Aug-2025,09-Sep-2025,612,276624,Completed
PO10186,S061,P1335,28-Oct-2025,15-Nov-2025,4383,17720469,Completed
PO10187,S038,P1678,13-Dec-2025,01-Jan-2026,1531,26907325,Completed
PO10188,S017,P1978,15-Nov-2025,26-Nov-2025,558,7007364,Completed
PO10189,S008,P1423,02-May-2025,09-May-2025,3812,40003128,Partially Received
PO10190,S088,P1837,29-Jun-2025,23-Jul-2025,997,42829126,Completed
PO10191,S022,P1656,05-Feb-2025,21-Feb-2025,1260,64175580,Completed
PO10192,S067,P1811,08-Jul-2025,28-Jul-2025,4738,232124096,Completed
PO10193,S015,P1985,07-May-2025,26-May-2025,2265,130042710,Cancelled
PO10194,S092,P1239,15-May-2025,25-May-2025,1656,99121536,Completed
PO10195,S031,P1455,12-Sep-2025,05-Oct-2025,4434,124058886,Completed
PO10196,S076,P1689,22-Feb-2025,10-Mar-2025,3346,140327894,Completed
PO10197,S065,P1145,31-Aug-2025,06-Sep-2025,3528,14799960,Cancelled
PO10198,S088,P1400,31-Oct-2025,06-Nov-2025,2256,126135216,Pending
PO10199,S006,P1219,20-Sep-2025,07-Oct-2025,3226,4716412,Completed
PO10200,S057,P1990,26-Aug-2025,10-Sep-2025,1578,12294198,Completed
PO10201,S089,P1783,16-Mar-2025,24-Mar-2025,1939,46250967,Completed
PO10202,S026,P1027,15-Feb-2025,08-Mar-2025,2100,56609700,Pending
PO10203,S094,P1738,23-Oct-2025,16-Nov-2025,1041,8479986,Pending
PO10204,S083,P1963,09-Apr-2025,12-Apr-2025,2559,52295724,Completed
PO10205,S015,P1212,27-Jul-2025,10-Aug-2025,4388,178051876,Completed
PO10206,S083,P1427,01-May-2025,23-May-2025,1634,95613510,Completed
PO10207,S052,P1556,04-Mar-2025,15-Mar-2025,3276,104910624,Completed
PO10208,S003,P1405,07-Mar-2025,12-Mar-2025,786,38336364,Completed
PO10209,S021,P1177,13-Aug-2025,23-Aug-2025,1326,59335848,Completed
PO10210,S025,P1328,12-Mar-2025,28-Mar-2025,939,40291551,Pending
PO10211,S093,P1983,22-Apr-2025,03-May-2025,3444,205124640,Completed
PO10212,S025,P1424,20-Feb-2025,09-Mar-2025,1803,75890073,Completed
PO10213,S038,P1279,08-Oct-2025,15-Oct-2025,2822,6671208,Completed
PO10214,S068,P1518,23-Jun-2025,08-Jul-2025,1436,48737840,Completed
PO10215,S011,P1526,11-Jun-2025,22-Jun-2025,2284,9942252,Pending
PO10216,S024,P1387,04-Sep-2025,27-Sep-2025,3592,104951056,Completed
PO10217,S070,P1572,16-Jul-2025,29-Jul-2025,2811,107776551,Completed
PO10218,S056,P1419,04-Aug-2025,13-Aug-2025,534,31433376,Completed
PO10219,S088,P1400,14-Feb-2025,28-Feb-2025,3575,199881825,Completed
PO10220,S024,P1216,16-May-2025,25-May-2025,646,25066738,Cancelled
PO10221,S011,P1557,28-Nov-2025,17-Dec-2025,1868,16003156,Completed
PO10222,S044,P1521,07-Dec-2025,28-Dec-2025,1550,489800,Completed
PO10223,S082,P1306,22-Apr-2025,01-May-2025,3909,83117067,Partially Received
PO10224,S043,P1252,08-Aug-2025,21-Aug-2025,2310,26842200,Completed
PO10225,S025,P1612,07-Mar-2025,17-Mar-2025,3518,10163502,Completed
PO10226,S055,P1102,03-Aug-2025,16-Aug-2025,4139,220190661,Completed
PO10227,S036,P1245,28-Jan-2025,03-Feb-2025,1512,72814896,Partially Received
PO10228,S046,P1720,02-Apr-2025,18-Apr-2025,4173,167061882,Completed
PO10229,S041,P1756,02-Jan-2025,23-Jan-2025,1342,73713376,Partially Received
PO10230,S083,P1291,05-Aug-2025,23-Aug-2025,2629,64087133,Completed
PO10231,S010,P1136,01-Jun-2025,09-Jun-2025,2922,32016354,Completed
PO10232,S028,P1470,05-Feb-2025,01-Mar-2025,998,9876208,Completed
PO10233,S069,P1402,26-Jun-2025,30-Jun-2025,3541,161830782,Completed
PO10234,S058,P1250,19-Jan-2025,22-Jan-2025,2809,32205185,Completed
PO10235,S076,P1741,07-Feb-2025,16-Feb-2025,3580,690940,Partially Received
PO10236,S038,P1678,05-Dec-2025,09-Dec-2025,3256,57224200,Completed
PO10237,S034,P1174,30-May-2025,06-Jun-2025,1215,15011325,Completed
PO10238,S008,P1166,16-Jul-2025,24-Jul-2025,2361,93436575,Completed
PO10239,S058,P1577,23-Sep-2025,03-Oct-2025,2593,6041690,Completed
PO10240,S080,P1617,18-Mar-2025,22-Mar-2025,3753,106221159,Completed
PO10241,S087,P1236,07-Dec-2025,24-Dec-2025,441,17823456,Pending
PO10242,S050,P1389,14-May-2025,17-May-2025,1892,24620596,Completed
PO10243,S084,P1087,01-Feb-2025,23-Feb-2025,2468,65959768,Completed
PO10244,S032,P1415,29-Nov-2025,12-Dec-2025,4015,56398705,Completed
PO10245,S054,P1895,01-Jun-2025,10-Jun-2025,3688,154796424,Completed
PO10246,S020,P1911,03-Jul-2025,19-Jul-2025,1782,67856778,Completed
PO10247,S046,P1720,22-Aug-2025,07-Sep-2025,609,24380706,Completed
PO10248,S068,P1598,08-Feb-2025,03-Mar-2025,3415,98280285,Completed
PO10249,S012,P1026,07-Jan-2025,31-Jan-2025,4754,217428944,Completed
PO10250,S063,P1594,25-Jul-2025,29-Jul-2025,4025,182690725,Completed
PO10251,S061,P1551,29-Oct-2025,18-Nov-2025,1379,45955175,Pending
PO10252,S006,P1017,24-Nov-2025,09-Dec-2025,4753,94779573,Completed
PO10253,S040,P1398,28-Jun-2025,17-Jul-2025,167,1553100,Completed
PO10254,S079,P1074,25-Apr-2025,01-May-2025,2045,75840870,Completed
PO10255,S001,P1462,13-Jun-2025,27-Jun-2025,4075,107535175,Completed
PO10256,S042,P1448,17-Jun-2025,29-Jun-2025,2155,89966940,Completed
PO10257,S028,P1703,05-Jul-2025,28-Jul-2025,3920,123668160,Completed
PO10258,S047,P1213,16-Mar-2025,02-Apr-2025,3775,131370000,Completed
PO10259,S005,P1134,06-Aug-2025,18-Aug-2025,2455,60420005,Completed
PO10260,S092,P1908,05-Apr-2025,21-Apr-2025,513,1104489,Completed
PO10261,S037,P1046,05-Sep-2025,24-Sep-2025,1131,32210880,Pending
PO10262,S081,P1362,27-Mar-2025,09-Apr-2025,4563,256550112,Completed
PO10263,S079,P1371,04-Jan-2025,11-Jan-2025,4104,243995112,Completed
PO10264,S047,P1472,15-Jan-2025,05-Feb-2025,4925,39380300,Completed
PO10265,S040,P1819,12-Jun-2025,18-Jun-2025,99,4297986,Pending
PO10266,S021,P1177,31-Mar-2025,12-Apr-2025,844,37767312,Cancelled
PO10267,S005,P1055,04-Nov-2025,17-Nov-2025,3102,158180286,Completed
PO10268,S034,P1912,24-Oct-2025,13-Nov-2025,3664,172013808,Completed
PO10269,S070,P1626,08-Sep-2025,17-Sep-2025,4521,148220985,Partially Received
PO10270,S055,P1770,04-Oct-2025,28-Oct-2025,2846,34721200,Completed
PO10271,S003,P1411,15-Feb-2025,07-Mar-2025,3765,191634735,Completed
PO10272,S061,P1968,14-Jul-2025,07-Aug-2025,2970,100386000,Completed
PO10273,S091,P1513,27-Nov-2025,11-Dec-2025,3014,16019410,Completed
PO10274,S086,P1156,23-Feb-2025,18-Mar-2025,3725,136618100,Completed
PO10275,S033,P1109,30-Oct-2025,13-Nov-2025,446,16262052,Completed
PO10276,S066,P1944,08-Nov-2025,12-Nov-2025,3658,98235590,Completed
PO10277,S028,P1611,05-Aug-2025,25-Aug-2025,4663,94048047,Completed
PO10278,S054,P1505,10-May-2025,24-May-2025,1549,38491101,Completed
PO10279,S094,P1949,07-Jan-2025,21-Jan-2025,1316,29653428,Pending
PO10280,S017,P1620,20-Mar-2025,25-Mar-2025,1354,5876360,Completed
PO10281,S024,P1387,10-Oct-2025,24-Oct-2025,2498,72986564,Completed
PO10282,S013,P1353,20-May-2025,25-May-2025,1436,11083048,Completed
PO10283,S080,P1922,13-Dec-2025,22-Dec-2025,4184,113369664,Completed
PO10284,S092,P1054,01-Jun-2025,15-Jun-2025,338,5425576,Completed
PO10285,S033,P1934,17-May-2025,06-Jun-2025,3216,119638416,Completed
PO10286,S052,P1085,10-Mar-2025,15-Mar-2025,1153,46575435,Completed
PO10287,S096,P1108,19-Nov-2025,06-Dec-2025,1398,65679438,Completed
PO10288,S089,P1021,23-Feb-2025,17-Mar-2025,720,11175840,Completed
PO10289,S071,P1478,08-May-2025,13-May-2025,4088,87254272,Pending
PO10290,S066,P1735,18-Nov-2025,04-Dec-2025,1248,24689184,Completed
PO10291,S086,P1181,11-Aug-2025,03-Sep-2025,1108,26001436,Cancelled
PO10292,S021,P1690,15-Oct-2025,29-Oct-2025,3452,104264208,Completed
PO10293,S025,P1127,16-May-2025,22-May-2025,4484,44463344,Completed
PO10294,S055,P1267,31-Oct-2025,08-Nov-2025,664,27585216,Pending
PO10295,S095,P1014,20-May-2025,11-Jun-2025,473,16753187,Completed
PO10296,S039,P1384,23-Jan-2025,31-Jan-2025,4866,8077560,Completed
PO10297,S089,P1783,04-Apr-2025,11-Apr-2025,931,22207143,Completed
PO10298,S008,P1584,01-Mar-2025,22-Mar-2025,4742,205048822,Completed
PO10299,S018,P1486,17-May-2025,06-Jun-2025,3396,187299588,Completed
PO10300,S059,P1247,04-Oct-2025,21-Oct-2025,2439,115757379,Pending
PO10301,S020,P1717,28-May-2025,03-Jun-2025,664,22493000,Completed
PO10302,S100,P1887,12-May-2025,16-May-2025,1590,84128490,Completed
PO10303,S005,P1622,04-Apr-2025,10-Apr-2025,941,52701646,Completed
PO10304,S088,P1025,27-Oct-2025,15-Nov-2025,4004,117465348,Completed
PO10305,S089,P1510,30-May-2025,15-Jun-2025,514,1175004,Partially Received
PO10306,S025,P1088,27-Aug-2025,10-Sep-2025,2509,67416830,Completed
PO10307,S033,P1077,06-Oct-2025,26-Oct-2025,4407,79907724,Completed
PO10308,S099,P1784,06-Jun-2025,25-Jun-2025,2750,115315750,Completed
PO10309,S036,P1169,08-May-2025,22-May-2025,117,5752422,Completed
PO10310,S057,P1519,25-Jan-2025,15-Feb-2025,3574,41940890,Completed
PO10311,S041,P1437,01-Mar-2025,13-Mar-2025,923,45303609,Partially Received
PO10312,S066,P1954,06-Jan-2025,22-Jan-2025,3326,165006186,Completed
PO10313,S007,P1974,31-Jan-2025,17-Feb-2025,4723,191749077,Completed
PO10314,S028,P1754,07-May-2025,21-May-2025,1500,985500,Completed
PO10315,S004,P1120,20-Sep-2025,11-Oct-2025,827,13422210,Completed
PO10316,S018,P1096,11-Mar-2025,15-Mar-2025,4110,158518590,Pending
PO10317,S082,P1658,04-Jun-2025,26-Jun-2025,4986,151639218,Completed
PO10318,S076,P1710,10-Jun-2025,19-Jun-2025,3353,99765162,Completed
PO10319,S067,P1811,05-May-2025,12-May-2025,4420,216544640,Completed
PO10320,S082,P1706,21-Sep-2025,29-Sep-2025,964,2285644,Pending
PO10321,S029,P1345,08-Oct-2025,28-Oct-2025,4892,51258376,Partially Received
PO10322,S079,P1563,06-Dec-2025,23-Dec-2025,1954,55683138,Completed
PO10323,S066,P1186,03-Jun-2025,07-Jun-2025,2627,134037421,Completed
PO10324,S022,P1957,24-Jun-2025,18-Jul-2025,4113,42869799,Completed
PO10325,S026,P1477,15-Feb-2025,27-Feb-2025,2780,40579660,Pending
PO10326,S012,P1610,02-Dec-2025,09-Dec-2025,1532,66082820,Pending
PO10327,S049,P1809,24-May-2025,10-Jun-2025,3516,10692156,Completed
PO10328,S076,P1523,25-Feb-2025,13-Mar-2025,1321,12619513,Completed
PO10329,S045,P1095,06-May-2025,21-May-2025,124,2344964,Completed
PO10330,S040,P1326,09-Apr-2025,20-Apr-2025,1684,14477348,Cancelled
PO10331,S012,P1750,19-Apr-2025,01-May-2025,4462,135908058,Completed
PO10332,S024,P1374,08-Sep-2025,13-Sep-2025,2064,90060576,Completed
PO10333,S005,P1055,16-Jun-2025,04-Jul-2025,1159,59100887,Completed
PO10334,S054,P1709,19-Mar-2025,28-Mar-2025,984,11856216,Completed
PO10335,S023,P1567,02-Jul-2025,11-Jul-2025,502,3109890,Completed
PO10336,S036,P1596,17-Feb-2025,23-Feb-2025,1389,41451927,Cancelled
PO10337,S053,P1205,02-Jan-2025,11-Jan-2025,2790,9204210,Completed
PO10338,S084,P1087,03-Sep-2025,14-Sep-2025,1490,39821740,Completed
PO10339,S030,P1233,29-May-2025,05-Jun-2025,1744,15920976,Completed
PO10340,S055,P1932,27-Feb-2025,23-Mar-2025,4090,194647190,Completed
PO10341,S081,P1215,29-Jul-2025,14-Aug-2025,3707,158073894,Pending
PO10342,S040,P1314,02-Aug-2025,25-Aug-2025,926,3944760,Completed
