Shipment_ID,Order_ID,Warehouse_ID,Shipment_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status
SH10156,SO10156,W002,06-Dec-2025,13-Dec-2025,Air,4560,Delivered
SH10157,SO10157,W016,20-Aug-2025,23-Aug-2025,Road,4065,In Transit
SH10158,SO10158,W002,30-May-2025,02-Jun-2025,Road,4573,Delivered
SH10159,SO10159,W007,16-Feb-2025,23-Feb-2025,Road,2682,Delivered
SH10160,SO10160,W002,30-Jul-2025,06-Aug-2025,Road,1188,Delivered
SH10161,SO10161,W003,07-Jul-2025,09-Jul-2025,Sea,6885,Delivered
SH10162,SO10162,W001,28-Oct-2025,02-Nov-2025,Road,2893,Delivered
SH10163,SO10163,W002,25-Apr-2025,30-Apr-2025,Road,6955,Delayed
SH10164,SO10164,W006,30-Oct-2025,02-Nov-2025,Rail,3940,Delivered
SH10165,SO10165,W003,19-Oct-2025,20-Oct-2025,Road,7557,In Transit
SH10166,SO10166,W020,18-Oct-2025,25-Oct-2025,Road,6745,Delivered
SH10167,SO10167,W014,18-Sep-2025,19-Sep-2025,Air,290,Delayed
SH10168,SO10168,W013,25-Nov-2025,29-Nov-2025,Air,6000,Delivered
SH10169,SO10169,W008,21-Oct-2025,29-Oct-2025,Road,5179,Delivered
SH10170,SO10170,W017,29-Jul-2025,06-Aug-2025,Rail,3258,Delivered
SH10171,SO10171,W016,30-Sep-2025,09-Oct-2025,Air,4114,Delivered
SH10172,SO10172,W016,03-Dec-2025,08-Dec-2025,Road,3238,Delivered
SH10173,SO10173,W013,21-May-2025,27-May-2025,Air,3849,Delivered
SH10174,SO10174,W020,28-Apr-2025,01-May-2025,Rail,3771,Delivered
SH10175,SO10175,W014,23-Feb-2025,26-Feb-2025,Road,7190,Delivered
SH10176,SO10176,W001,24-Jun-2025,30-Jun-2025,Sea,7032,Delivered
SH10177,SO10177,W019,27-Feb-2025,06-Mar-2025,Road,5105,Delivered
SH10178,SO10178,W007,10-Mar-2025,17-Mar-2025,Air,3037,Delivered
SH10179,SO10179,W003,13-May-2025,14-May-2025,Road,3906,Delivered
SH10180,SO10180,W005,14-Apr-2025,15-Apr-2025,Road,5065,Delivered
SH10181,SO10181,W002,16-Jun-2025,19-Jun-2025,Road,6176,Delivered
SH10182,SO10182,W001,19-Feb-2025,28-Feb-2025,Air,4116,Delivered
SH10183,SO10183,W003,21-Jan-2025,22-Jan-2025,Air,2288,Delivered
SH10184,SO10184,W010,18-Jun-2025,23-Jun-2025,Air,6620,Cancelled
SH10185,SO10185,W005,31-Jul-2025,03-Aug-2025,Road,808,Delivered
SH10186,SO10186,W008,23-Nov-2025,30-Nov-2025,Road,4312,Delivered
SH10187,SO10187,W009,22-Nov-2025,24-Nov-2025,Road,7261,Delivered
SH10188,SO10188,W019,22-Mar-2025,29-Mar-2025,Road,6292,Delivered
SH10189,SO10189,W008,23-May-2025,27-May-2025,Air,648,Delivered
SH10190,SO10190,W001,03-Jul-2025,12-Jul-2025,Air,2483,Delivered
SH10191,SO10191,W013,01-Feb-2025,06-Feb-2025,Road,5955,Delivered
SH10192,SO10192,W019,12-Nov-2025,13-Nov-2025,Road,1127,Delivered
SH10193,SO10193,W001,09-Jul-2025,13-Jul-2025,Sea,1256,Delivered
SH10194,SO10194,W020,06-Sep-2025,14-Sep-2025,Road,823,Delivered
SH10195,SO10195,W001,07-Apr-2025,14-Apr-2025,Road,4719,Delivered
SH10196,SO10196,W009,04-Aug-2025,06-Aug-2025,Road,7247,Delivered
SH10197,SO10197,W005,21-Mar-2025,28-Mar-2025,Road,4385,In Transit
SH10198,SO10198,W003,10-Oct-2025,12-Oct-2025,Rail,933,Delivered
SH10199,SO10199,W015,29-Aug-2025,03-Sep-2025,Air,5199,Delivered
SH10200,SO10200,W004,26-Jan-2025,01-Feb-2025,Sea,4480,Delivered
SH10201,SO10201,W015,20-Apr-2025,29-Apr-2025,Road,7742,Delivered
SH10202,SO10202,W013,01-May-2025,06-May-2025,Rail,5096,Delivered
SH10203,SO10203,W005,02-Nov-2025,06-Nov-2025,Road,4489,Delivered
SH10204,SO10204,W007,07-Mar-2025,10-Mar-2025,Road,4088,In Transit
SH10205,SO10205,W016,02-Aug-2025,08-Aug-2025,Road,1222,Delivered
SH10206,SO10206,W004,10-Aug-2025,16-Aug-2025,Road,7401,Delivered
SH10207,SO10207,W002,11-Aug-2025,16-Aug-2025,Rail,7082,Delivered
SH10208,SO10208,W013,22-Apr-2025,29-Apr-2025,Rail,1371,Delivered
SH10209,SO10209,W004,18-Jan-2025,24-Jan-2025,Road,4689,Delivered
SH10210,SO10210,W005,28-Dec-2025,29-Dec-2025,Sea,4304,Delayed
SH10211,SO10211,W010,11-Nov-2025,13-Nov-2025,Air,6509,Delivered
SH10212,SO10212,W004,06-Feb-2025,07-Feb-2025,Road,4016,Delayed
SH10213,SO10213,W010,15-Sep-2025,17-Sep-2025,Road,7247,Delivered
SH10214,SO10214,W004,09-Nov-2025,11-Nov-2025,Rail,6520,Delivered
SH10215,SO10215,W017,24-Mar-2025,25-Mar-2025,Rail,1709,Delivered
SH10216,SO10216,W018,29-Jun-2025,02-Jul-2025,Sea,5563,Delivered
SH10217,SO10217,W006,18-Sep-2025,25-Sep-2025,Road,2759,In Transit
SH10218,SO10218,W004,19-Jun-2025,28-Jun-2025,Air,7370,Delivered
SH10219,SO10219,W019,23-Jan-2025,31-Jan-2025,Road,6106,Delivered
SH10220,SO10220,W010,08-May-2025,16-May-2025,Road,977,Delivered
SH10221,SO10221,W002,07-Mar-2025,08-Mar-2025,Rail,6967,Delivered
SH10222,SO10222,W020,13-Apr-2025,22-Apr-2025,Road,5065,Delivered
SH10223,SO10223,W002,03-Jan-2026,12-Jan-2026,Road,7333,Cancelled
SH10224,SO10224,W011,13-May-2025,20-May-2025,Road,4343,Delivered
SH10225,SO10225,W010,02-Mar-2025,06-Mar-2025,Road,343,In Transit
SH10226,SO10226,W018,04-Apr-2025,06-Apr-2025,Road,3202,Delayed
SH10227,SO10227,W001,25-Feb-2025,01-Mar-2025,Road,2153,Delivered
SH10228,SO10228,W011,21-Nov-2025,22-Nov-2025,Road,1522,Delivered
SH10229,SO10229,W005,31-Dec-2025,03-Jan-2026,Road,2023,Delivered
SH10230,SO10230,W007,31-Jan-2025,03-Feb-2025,Rail,3829,In Transit
SH10231,SO10231,W007,07-Aug-2025,15-Aug-2025,Road,1705,Delivered
SH10232,SO10232,W007,31-Jan-2025,01-Feb-2025,Road,5749,Delivered
SH10233,SO10233,W019,08-Feb-2025,12-Feb-2025,Road,3333,Delivered
SH10234,SO10234,W002,18-Oct-2025,25-Oct-2025,Road,3919,Delivered
SH10235,SO10235,W007,07-Aug-2025,10-Aug-2025,Air,6237,Delivered
SH10236,SO10236,W009,01-May-2025,04-May-2025,Rail,6746,Delivered
SH10237,SO10237,W009,21-Jun-2025,27-Jun-2025,Road,6281,Delivered
SH10238,SO10238,W015,16-Jun-2025,17-Jun-2025,Road,6136,In Transit
SH10239,SO10239,W006,22-Oct-2025,29-Oct-2025,Road,2063,Delivered
SH10240,SO10240,W013,05-Sep-2025,12-Sep-2025,Road,4356,Delivered
SH10241,SO10241,W013,24-Sep-2025,28-Sep-2025,Rail,4886,Delivered
SH10242,SO10242,W013,01-May-2025,10-May-2025,Air,5886,In Transit
SH10243,SO10243,W007,03-Aug-2025,08-Aug-2025,Rail,6181,Delayed
SH10244,SO10244,W010,26-Sep-2025,03-Oct-2025,Road,3404,Delivered
SH10245,SO10245,W019,12-Mar-2025,13-Mar-2025,Road,2732,Delivered
SH10246,SO10246,W010,29-May-2025,07-Jun-2025,Road,2702,Delivered
SH10247,SO10247,W010,07-Jul-2025,10-Jul-2025,Road,2256,In Transit
SH10248,SO10248,W010,06-Jun-2025,08-Jun-2025,Road,5843,Delivered
SH10249,SO10249,W005,30-Aug-2025,07-Sep-2025,Air,4380,Delivered
SH10250,SO10250,W014,23-May-2025,01-Jun-2025,Road,3715,Delivered
SH10251,SO10251,W012,23-Jan-2025,24-Jan-2025,Road,5778,Delivered
SH10252,SO10252,W013,16-Oct-2025,21-Oct-2025,Road,5375,Delivered
SH10253,SO10253,W014,28-Jan-2025,03-Feb-2025,Air,6443,In Transit
SH10254,SO10254,W011,27-Aug-2025,29-Aug-2025,Road,2960,Delivered
SH10255,SO10255,W003,02-Jan-2025,04-Jan-2025,Rail,7159,Delivered
SH10256,SO10256,W016,19-Jul-2025,23-Jul-2025,Road,5403,Delivered
SH10257,SO10257,W006,02-Apr-2025,03-Apr-2025,Sea,7708,Delivered
SH10258,SO10258,W002,24-Dec-2025,26-Dec-2025,Road,7054,Delivered
SH10259,SO10259,W007,29-Aug-2025,05-Sep-2025,Road,5610,Delivered
SH10260,SO10260,W012,15-Feb-2025,21-Feb-2025,Rail,5472,Delivered
SH10261,SO10261,W004,30-Jun-2025,02-Jul-2025,Road,4125,In Transit
SH10262,SO10262,W016,20-Oct-2025,29-Oct-2025,Air,7908,Delivered
SH10263,SO10263,W015,18-Mar-2025,19-Mar-2025,Road,6161,Delivered
SH10264,SO10264,W014,02-Sep-2025,11-Sep-2025,Road,5682,Delivered
SH10265,SO10265,W007,28-Feb-2025,08-Mar-2025,Road,1256,Delivered
SH10266,SO10266,W013,31-Dec-2025,09-Jan-2026,Sea,4757,Delivered
SH10267,SO10267,W010,07-May-2025,08-May-2025,Road,5865,Delivered
SH10268,SO10268,W010,26-Feb-2025,27-Feb-2025,Road,6415,Delivered
SH10269,SO10269,W015,05-Jan-2025,10-Jan-2025,Sea,1835,Delivered
SH10270,SO10270,W010,17-Jul-2025,25-Jul-2025,Air,2383,Delivered
SH10271,SO10271,W003,19-Dec-2025,24-Dec-2025,Road,1806,Delivered
SH10272,SO10272,W018,09-Feb-2025,11-Feb-2025,Air,2557,Delivered
SH10273,SO10273,W002,30-Mar-2025,08-Apr-2025,Rail,6269,In Transit
SH10274,SO10274,W020,20-Jul-2025,25-Jul-2025,Road,7203,Delivered
SH10275,SO10275,W017,21-Jul-2025,22-Jul-2025,Road,5967,Delivered
SH10276,SO10276,W007,06-Aug-2025,12-Aug-2025,Road,5578,Delivered
SH10277,SO10277,W011,09-Jun-2025,13-Jun-2025,Road,1020,Delivered
SH10278,SO10278,W019,24-Apr-2025,27-Apr-2025,Road,350,Delivered
SH10279,SO10279,W011,11-May-2025,16-May-2025,Road,4007,Delivered
SH10280,SO10280,W006,14-Nov-2025,21-Nov-2025,Air,2352,Delivered
SH10281,SO10281,W004,02-Oct-2025,03-Oct-2025,Road,931,Delivered
SH10282,SO10282,W004,03-May-2025,04-May-2025,Sea,1984,Delivered
SH10283,SO10283,W011,06-May-2025,13-May-2025,Air,2614,Delivered
SH10284,SO10284,W014,10-Jul-2025,16-Jul-2025,Road,1258,Delivered
SH10285,SO10285,W009,06-Nov-2025,12-Nov-2025,Road,6444,Delivered
SH10286,SO10286,W008,06-Aug-2025,12-Aug-2025,Road,225,Delivered
SH10287,SO10287,W013,21-Jul-2025,26-Jul-2025,Rail,1814,Delivered
SH10288,SO10288,W017,26-May-2025,28-May-2025,Road,2048,Delayed
SH10289,SO10289,W007,03-Feb-2025,08-Feb-2025,Rail,6073,Delivered
SH10290,SO10290,W018,02-Sep-2025,07-Sep-2025,Road,6747,Delivered
SH10291,SO10291,W003,24-Jun-2025,27-Jun-2025,Road,5701,Delivered
SH10292,SO10292,W016,20-Sep-2025,25-Sep-2025,Air,6244,Delivered
SH10293,SO10293,W005,17-Jun-2025,22-Jun-2025,Air,1491,Delayed
SH10294,SO10294,W010,24-Aug-2025,29-Aug-2025,Road,1502,Delivered
SH10295,SO10295,W013,14-Jun-2025,22-Jun-2025,Road,310,Delivered
SH10296,SO10296,W016,15-Feb-2025,22-Feb-2025,Sea,2728,Delivered
SH10297,SO10297,W006,05-Sep-2025,14-Sep-2025,Road,7594,Delivered
SH10298,SO10298,W002,16-Mar-2025,24-Mar-2025,Sea,2355,Delivered
SH10299,SO10299,W017,23-Jan-2025,31-Jan-2025,Road,5387,Delivered
SH10300,SO10300,W016,12-Sep-2025,13-Sep-2025,Road,1193,Delivered
SH10301,SO10301,W015,16-Dec-2025,21-Dec-2025,Road,6240,Delivered
SH10302,SO10302,W010,25-Sep-2025,02-Oct-2025,Road,1469,Delayed
SH10303,SO10303,W011,10-Feb-2025,11-Feb-2025,Road,2320,Delivered
SH10304,SO10304,W018,23-Apr-2025,26-Apr-2025,Air,6680,Delivered
SH10305,SO10305,W017,06-Jun-2025,14-Jun-2025,Air,4325,Delivered
SH10306,SO10306,W013,06-Sep-2025,09-Sep-2025,Air,6146,Delivered
SH10307,SO10307,W019,21-Jan-2025,27-Jan-2025,Sea,494,Delivered
SH10308,SO10308,W017,15-Apr-2025,20-Apr-2025,Rail,4563,In Transit
SH10309,SO10309,W009,19-Sep-2025,28-Sep-2025,Road,6111,Delayed
SH10310,SO10310,W014,09-Apr-2025,12-Apr-2025,Road,2814,Delivered
SH10311,SO10311,W008,30-Dec-2025,06-Jan-2026,Sea,3542,Cancelled
SH10312,SO10312,W012,20-Dec-2025,28-Dec-2025,Rail,3894,Delivered
SH10313,SO10313,W010,30-May-2025,07-Jun-2025,Sea,836,In Transit
SH10314,SO10314,W005,24-Sep-2025,03-Oct-2025,Rail,2570,Delayed
SH10315,SO10315,W017,27-May-2025,28-May-2025,Air,4708,Delivered
SH10316,SO10316,W019,23-Mar-2025,25-Mar-2025,Road,2569,Delayed
SH10317,SO10317,W010,10-Nov-2025,16-Nov-2025,Sea,7735,Delivered
SH10318,SO10318,W015,08-Feb-2025,13-Feb-2025,Road,3073,Delivered
SH10319,SO10319,W017,12-Nov-2025,15-Nov-2025,Road,3406,Delivered
SH10320,SO10320,W020,12-Jul-2025,19-Jul-2025,Air,6631,Delivered
SH10321,SO10321,W002,24-Oct-2025,01-Nov-2025,Air,3244,Delivered
SH10322,SO10322,W006,13-Feb-2025,22-Feb-2025,Road,6129,Delivered
SH10323,SO10323,W003,07-Apr-2025,15-Apr-2025,Road,1506,Delivered
SH10324,SO10324,W013,21-Nov-2025,23-Nov-2025,Road,4338,Delivered
SH10325,SO10325,W008,22-Jan-2025,25-Jan-2025,Road,2519,Delivered
SH10326,SO10326,W006,20-Mar-2025,21-Mar-2025,Road,5225,Delayed
SH10327,SO10327,W011,28-Dec-2025,05-Jan-2026,Air,4318,Delivered
SH10328,SO10328,W003,19-Oct-2025,26-Oct-2025,Road,5273,Delivered
SH10329,SO10329,W020,09-Mar-2025,12-Mar-2025,Rail,3290,Delivered
SH10330,SO10330,W002,08-Sep-2025,13-Sep-2025,Road,236,Delivered
SH10331,SO10331,W014,06-Sep-2025,13-Sep-2025,Road,3200,Delivered
