Product_ID,Product_Name,Category,Sub_Category,Brand,Supplier_ID,Unit_Cost,Selling_Price
P1093,Document Folder 733,Stationery,Files,Faber-Castell,S005,10596,14750
P1094,Coffee 981,Groceries,Beverages,Britannia,S097,27685,32560
P1095,Men's Shirt 285,Apparel,Menswear,Zara,S045,18911,22000
P1096,DSLR Camera 326,Electronics,Camera,Apple,S018,38569,55900
P1097,Document Folder 213,Stationery,Files,Classmate,S062,40857,57640
P1098,Document Folder 752,Stationery,Files,Classmate,S032,55123,77990
P1099,Action Camera 515,Electronics,Camera,LG,S094,47363,67980
P1100,Cookies 355,Groceries,Snacks,ITC,S030,14958,19170
P1101,Frozen Nuggets 297,Groceries,Frozen,Parle,S056,12439,15380
P1102,Cooking Oil 163,Groceries,Staples,Nestle,S055,53199,63250
P1103,Puzzle Set 528,Toys,Educational,Lego,S025,29297,38100
P1104,Bar Stool 714,Furniture,Chair,Durian,S050,5897,7170
P1105,Sunglasses 311,Apparel,Accessories,Adidas,S011,49507,70830
P1106,Office Desk 101,Furniture,Table,Godrej,S065,38924,44810
P1107,Double Bed 525,Furniture,Bed,Durian,S076,1582,1890
P1108,Flash Cards 707,Toys,Educational,Hasbro,S096,46981,57500
P1109,Superhero Figure 410,Toys,Action Figures,Mattel,S033,36462,44110
P1110,Power Bank 325,Electronics,Mobile,Samsung,S029,36895,44930
P1111,Sleeping Bag 238,Sports,Outdoor,Adidas,S055,51902,69900
P1112,Mattress 770,Furniture,Bed,Urban Ladder,S070,29757,37140
P1113,Sofa Cum Bed 874,Furniture,Sofa,Urban Ladder,S100,27702,36970
P1114,Sunglasses 792,Apparel,Accessories,Puma,S003,37059,52520
P1115,Bunk Bed 565,Furniture,Bed,Durian,S024,11907,15850
P1116,Cookies 750,Groceries,Snacks,ITC,S027,9142,12420
P1117,3D Puzzle 456,Toys,Puzzles,Funskool,S026,50634,63780
P1118,Vase 122,Home & Kitchen,Decor,Milton,S047,12973,15540
P1119,Cricket Bat 430,Sports,Team Sports,Cosco,S088,30285,37740
P1120,Sugar 732,Groceries,Staples,Nestle,S004,16230,23360
P1121,Action Camera 681,Electronics,Camera,HP,S082,13865,18530
P1122,Cap 990,Electronics,Accessories,Sony,S062,35886,44260
P1123,Kids Frock 996,Apparel,Kidswear,H&M,S062,48151,61890
P1124,Mattress 318,Furniture,Bed,Ikea,S068,26541,37170
P1125,A4 Sheets 108,Stationery,Paper,Camlin,S012,8366,11300
P1126,Scissors 346,Stationery,Office Supplies,Parker,S075,14706,19390
P1127,Stapler 887,Stationery,Office Supplies,Camlin,S025,9916,14040
P1128,Sneakers 831,Sports,Footwear,Adidas,S052,52974,71610
P1129,Frying Pan 188,Home & Kitchen,Cookware,Prestige,S068,19205,25790
P1130,Sleeping Bag 244,Sports,Outdoor,Puma,S061,22466,27110
P1131,Pulses 606,Groceries,Staples,Britannia,S033,4308,5090
P1132,Watch 693,Sports,Accessories,Cosco,S040,26789,38560
P1133,Water Colors 983,Stationery,Art Supplies,Parker,S048,54839,72920
P1134,Sticky Notes 778,Stationery,Office Supplies,Parker,S005,24611,31370
P1135,Wall Clock 290,Home & Kitchen,Decor,Philips,S073,39092,51860
P1136,DSLR Camera 133,Electronics,Camera,Samsung,S010,10957,12800
P1137,Basketball 669,Sports,Team Sports,Puma,S046,8619,12040
P1138,Men's Shirt 597,Apparel,Menswear,Zara,S066,43911,53350
P1139,Football 928,Sports,Team Sports,Adidas,S009,3990,5550
P1140,Curtains 617,Home & Kitchen,Decor,Bajaj,S100,26935,35290
P1141,Tent 550,Toys,Outdoor,Lego,S038,19036,23470
P1142,Cap 372,Apparel,Accessories,Nike,S002,1024,1190
P1143,Rubik's Cube 177,Toys,Puzzles,Mattel,S066,31895,44490
P1144,A4 Sheets 887,Stationery,Paper,Camlin,S056,57842,69580
P1145,Women's Dress 842,Apparel,Womenswear,Adidas,S065,4195,4890
P1146,Butter 246,Groceries,Dairy,Britannia,S076,48955,67400
P1147,Frying Pan 732,Home & Kitchen,Cookware,Pigeon,S048,32373,40630
P1148,Ring Binder 427,Stationery,Files,Parker,S083,43427,55010
P1149,Wallet 492,Sports,Accessories,Cosco,S038,5838,7150
P1150,Document Folder 862,Stationery,Files,Faber-Castell,S055,52152,73420
P1151,Women's Jeans 856,Apparel,Womenswear,Adidas,S016,734,910
P1152,Microwave 271,Home & Kitchen,Appliances,Pigeon,S062,54413,66010
P1153,Frozen Peas 376,Groceries,Frozen,ITC,S027,39485,49070
P1154,Ludo 838,Toys,Board Games,Funskool,S070,20282,24560
P1155,Sneakers 924,Apparel,Footwear,Zara,S081,475,590
P1156,Vase 171,Home & Kitchen,Decor,Milton,S086,36676,43090
P1157,Microphone 849,Electronics,Audio,HP,S093,5291,6340
P1158,Notebook 539,Stationery,Paper,Faber-Castell,S013,36548,46600
P1159,Ice Cream 630,Groceries,Frozen,Britannia,S014,46400,65600
P1160,Women's Top 167,Apparel,Womenswear,Nike,S093,16074,18760
P1161,Wardrobe 711,Home & Kitchen,Storage,Prestige,S039,14361,17430
P1162,Chocolate 709,Groceries,Snacks,Amul,S003,13356,19000
P1163,Sketch Pens 695,Stationery,Art Supplies,Parker,S029,13529,19170
P1164,Wardrobe 810,Home & Kitchen,Storage,Pigeon,S084,6878,9310
P1165,Bookshelf 950,Home & Kitchen,Storage,Philips,S036,15019,18360
P1166,Watch 864,Electronics,Accessories,LG,S008,39575,50500
P1167,Feature Phone 769,Electronics,Mobile,LG,S073,18185,22070
P1168,Frozen Peas 982,Groceries,Frozen,ITC,S020,46866,55700
P1169,Rubik's Cube 706,Toys,Puzzles,Funskool,S036,49166,62150
P1170,3D Puzzle 704,Toys,Puzzles,Hot Wheels,S001,45669,60410
P1171,Yoga Mat 587,Sports,Fitness,Adidas,S061,32394,40750
P1172,Sneakers 791,Sports,Footwear,Yonex,S045,19010,25350
P1173,Ice Cream 164,Groceries,Frozen,Tata,S087,55797,69130
P1174,Bunk Bed 554,Furniture,Bed,Ikea,S034,12355,15490
P1175,Smartphone 482,Electronics,Mobile,LG,S021,27897,38700
P1176,Sneakers 920,Apparel,Footwear,Zara,S017,27244,38510
P1177,Men's Shirt 165,Apparel,Menswear,H&M,S021,44748,55780
P1178,Shoe Rack 678,Furniture,Storage,Nilkamal,S046,32831,43380
P1179,Sneakers 265,Apparel,Footwear,Zara,S009,47980,59180
P1180,Headphones 894,Electronics,Audio,Sony,S041,55149,64300
P1181,Detergent 865,Home & Kitchen,Cleaning,Bajaj,S086,23467,32180
P1182,Superhero Figure 311,Toys,Action Figures,Hot Wheels,S077,52495,63060
P1183,Sneakers 883,Sports,Footwear,Nivia,S064,10222,13060
P1184,Cooking Oil 546,Groceries,Staples,ITC,S090,54967,71240
P1185,Pulses 972,Groceries,Staples,Nestle,S079,10720,12920
P1186,Women's Kurti 756,Apparel,Womenswear,Adidas,S066,51023,60120
P1187,Study Table 130,Furniture,Table,Nilkamal,S087,23445,29410
P1188,Microwave 282,Home & Kitchen,Appliances,Milton,S013,57876,83090
P1189,Vase 462,Home & Kitchen,Decor,Milton,S082,7795,10400
P1190,Microphone 289,Electronics,Audio,Samsung,S030,27956,35350
P1191,Cookies 219,Groceries,Snacks,Tata,S074,54117,62870
P1192,Kids Jacket 979,Apparel,Kidswear,Zara,S092,2896,3850
P1193,Office Desk 881,Furniture,Table,Godrej,S050,15937,18770
P1194,Camping Chair 490,Sports,Outdoor,Nivia,S009,5059,6640
P1195,Mop 293,Home & Kitchen,Cleaning,Bajaj,S038,19310,26560
P1196,Wallet 263,Sports,Accessories,Yonex,S041,23447,29940
P1197,Camping Chair 923,Sports,Outdoor,Adidas,S094,37152,46060
P1198,Rubik's Cube 397,Toys,Puzzles,Lego,S095,15498,18040
P1199,Sketch Pens 111,Stationery,Art Supplies,Faber-Castell,S057,9563,11070
P1200,Frying Pan 457,Home & Kitchen,Cookware,Bajaj,S096,10237,13090
P1201,Action Set 508,Toys,Action Figures,Hot Wheels,S044,56307,79670
P1202,Cold Drink 660,Groceries,Beverages,Parle,S042,57194,69960
P1203,Puzzle Set 404,Toys,Educational,Hasbro,S084,13323,17620
P1204,Scissors 929,Stationery,Office Supplies,Parker,S067,11765,15950
P1205,Basketball 678,Sports,Team Sports,Puma,S053,3299,3850
P1206,Tent 986,Toys,Outdoor,Hot Wheels,S046,57564,68840
P1207,Frying Pan 429,Home & Kitchen,Cookware,Prestige,S071,42383,52950
P1208,Sunglasses 685,Sports,Accessories,Puma,S076,45662,61690
P1209,Women's Jeans 428,Apparel,Womenswear,Zara,S050,17469,22390
P1210,Learning Kit 729,Toys,Educational,Hasbro,S004,38474,52720
P1211,Broom 770,Home & Kitchen,Cleaning,Bajaj,S011,3635,5130
P1212,Chart Paper 389,Stationery,Paper,Camlin,S015,40577,55900
P1213,Cooking Oil 942,Groceries,Staples,Parle,S047,34800,50380
P1214,Gel Pen 870,Stationery,Writing,Faber-Castell,S062,19921,27420
P1215,Printer 904,Electronics,Computer,Lenovo,S081,42642,59940
P1216,Feature Phone 295,Electronics,Mobile,LG,S024,38803,54310
P1217,Wall Clock 745,Home & Kitchen,Decor,Pigeon,S079,26367,36100
P1218,Wallet 195,Sports,Accessories,Yonex,S067,11242,15630
P1219,Scissors 194,Stationery,Office Supplies,Parker,S006,1462,2090
P1220,Energy Drink 974,Groceries,Beverages,Tata,S036,56265,72730
P1221,Cap 237,Sports,Accessories,Nike,S031,16917,22690
P1222,Pressure Cooker 876,Home & Kitchen,Cookware,Pigeon,S089,18142,23670
P1223,Building Blocks 487,Toys,Educational,Lego,S093,40879,57450
P1224,Cricket Bat 372,Sports,Team Sports,Yonex,S082,15348,19640
P1225,Yogurt 166,Groceries,Dairy,Britannia,S053,22576,31510
P1226,Backpack 706,Toys,Outdoor,Funskool,S050,42684,59320
P1227,Sunglasses 748,Electronics,Accessories,Lenovo,S032,35742,51420
P1228,3D Puzzle 519,Toys,Puzzles,Hot Wheels,S078,39404,48260
P1229,Office Desk 828,Furniture,Table,Ikea,S009,330,450
P1230,Cap 390,Apparel,Accessories,Puma,S028,27105,37330
P1231,Notebook 595,Stationery,Paper,Faber-Castell,S014,28542,40840
P1232,Exercise Bike 357,Sports,Fitness,Nike,S050,37965,53990
P1233,Rubik's Cube 623,Toys,Puzzles,Lego,S030,9129,12070
P1234,Yoga Mat 222,Sports,Fitness,Adidas,S020,9611,12720
P1235,Basketball 528,Sports,Team Sports,Cosco,S038,45757,54920
P1236,Sneakers 593,Apparel,Footwear,H&M,S087,40416,58300
P1237,Charger 600,Electronics,Mobile,Asus,S056,48680,59710
P1238,Feature Phone 501,Electronics,Mobile,HP,S083,16273,22250
P1239,Kids Frock 678,Apparel,Kidswear,Levis,S092,59856,83120
P1240,Sunglasses 560,Electronics,Accessories,LG,S091,16406,21040
P1241,Electric Kettle 354,Home & Kitchen,Appliances,Pigeon,S036,39075,47410
P1242,Sticky Pad 293,Stationery,Paper,Camlin,S088,9772,11790
P1243,Ludo 682,Toys,Board Games,Funskool,S091,55114,77540
P1244,Juice 943,Groceries,Beverages,Parle,S096,19976,26030
P1245,Backpack 777,Toys,Outdoor,Lego,S036,48158,56680
P1246,Jigsaw Puzzle 674,Toys,Puzzles,Lego,S023,19908,27180
P1247,Sketch Pens 928,Stationery,Art Supplies,Parker,S059,47461,58140
P1248,Energy Drink 908,Groceries,Beverages,Amul,S094,27278,38540
P1249,Men's Shirt 555,Apparel,Menswear,Puma,S091,3796,4720
P1250,Chess Set 198,Toys,Board Games,Mattel,S058,11465,13870
P1251,Wardrobe 670,Furniture,Storage,Urban Ladder,S015,41022,48220
P1252,Cheese 659,Groceries,Dairy,ITC,S043,11620,15150
P1253,Smartphone 349,Electronics,Mobile,Asus,S072,16555,21280
P1254,Drawing Book 863,Stationery,Art Supplies,Faber-Castell,S057,32527,44740
P1255,Tent 882,Sports,Outdoor,Puma,S035,15220,19620
P1256,Camera Bag 397,Electronics,Camera,Sony,S035,7776,9740
P1257,Single Bed 528,Furniture,Bed,Ikea,S006,37476,46040
P1258,Mop 275,Home & Kitchen,Cleaning,Philips,S029,41349,51000
P1259,Frying Pan 260,Home & Kitchen,Cookware,Philips,S067,43996,62840
P1260,Document Folder 338,Stationery,Files,Faber-Castell,S025,56639,67940
P1261,Men's T-Shirt 428,Apparel,Menswear,Adidas,S100,7513,10870
P1262,3D Puzzle 345,Toys,Puzzles,Funskool,S009,25636,32000
P1263,Juice 236,Groceries,Beverages,ITC,S059,14078,16560
P1264,Crayons 502,Stationery,Art Supplies,Classmate,S050,54071,66220
P1265,Office Chair 660,Furniture,Chair,Ikea,S084,32410,37840
P1266,Monitor 393,Electronics,Computer,Dell,S089,5944,8240
P1267,DSLR Camera 579,Electronics,Camera,Asus,S055,41544,54160
P1268,Sneakers 343,Apparel,Footwear,Nike,S064,2625,3280
P1269,Learning Kit 732,Toys,Educational,Funskool,S070,16486,22230
P1270,Sunglasses 683,Electronics,Accessories,LG,S053,43296,57980
P1271,Women's Jeans 963,Apparel,Womenswear,Levis,S019,30385,43510
P1272,Smartphone 147,Electronics,Mobile,LG,S043,45673,65700
P1273,Superhero Figure 866,Toys,Action Figures,Lego,S025,34292,46440
P1274,Cricket Bat 405,Sports,Team Sports,Cosco,S047,50591,70590
P1275,Gel Pen 159,Stationery,Writing,Parker,S062,33775,46870
P1276,Cricket Bat 720,Sports,Team Sports,Yonex,S021,3456,4480
P1277,Camping Chair 254,Sports,Outdoor,Nivia,S025,4322,5880
P1278,Gel Pen 258,Stationery,Writing,Reynolds,S083,46625,54710
P1279,Charger 980,Electronics,Mobile,Lenovo,S038,2364,3260
P1280,A4 Sheets 298,Stationery,Paper,Reynolds,S020,22623,32540
P1281,Sneakers 591,Sports,Footwear,Adidas,S072,1015,1190
P1282,Backpack 280,Sports,Outdoor,Nivia,S072,18235,25540
P1283,Chocolate 211,Groceries,Snacks,ITC,S083,35728,51090
P1284,Notebook 100,Stationery,Paper,Classmate,S076,10422,12690
P1285,Cooking Oil 114,Groceries,Staples,ITC,S100,27992,36600
P1286,Watch 525,Electronics,Accessories,LG,S058,59761,85360
P1287,3D Puzzle 490,Toys,Puzzles,Hasbro,S029,4276,6150
P1288,Recliner Sofa 135,Furniture,Sofa,Urban Ladder,S087,3866,4590
P1289,Watch 414,Electronics,Accessories,LG,S027,16311,20470
P1290,Curtains 345,Home & Kitchen,Decor,Prestige,S030,49629,67470
P1291,Office Desk 613,Furniture,Table,Urban Ladder,S083,24377,29650
P1292,Stapler 994,Stationery,Office Supplies,Camlin,S089,38387,47890
P1293,Chocolate 721,Groceries,Snacks,ITC,S034,2080,2410
P1294,Tripod 925,Electronics,Camera,Apple,S073,44118,52770
P1295,Sleeping Bag 272,Toys,Outdoor,Hot Wheels,S093,4092,5400
P1296,Wardrobe 293,Home & Kitchen,Storage,Pigeon,S080,42717,57490
P1297,Men's T-Shirt 774,Apparel,Menswear,Levis,S001,8917,11990
P1298,Football 378,Sports,Team Sports,Adidas,S067,51513,71270
P1299,Toaster 863,Home & Kitchen,Appliances,Milton,S017,17803,22690
P1300,Wallet 516,Electronics,Accessories,Sony,S085,11068,13640
P1301,Scissors 280,Stationery,Office Supplies,Parker,S007,20235,23360
P1302,Cold Drink 859,Groceries,Beverages,Amul,S100,99,120
P1303,Hockey Stick 594,Sports,Team Sports,Nike,S018,9949,12370
P1304,Jigsaw Puzzle 821,Toys,Puzzles,Lego,S043,35931,43240
P1305,Cabinet 506,Home & Kitchen,Storage,Bajaj,S024,18081,20900
P1306,Yoga Mat 213,Sports,Fitness,Nivia,S082,21263,25460
P1307,Women's Jeans 712,Apparel,Womenswear,Nike,S040,48443,65390
P1308,Bar Stool 211,Furniture,Chair,Nilkamal,S075,7471,10000
P1309,Chips 696,Groceries,Snacks,Britannia,S007,23783,34030
P1310,Sketch Pens 474,Stationery,Art Supplies,Classmate,S046,11209,15570
P1311,Electric Kettle 811,Home & Kitchen,Appliances,Pigeon,S092,28996,38280
P1312,Men's Jeans 882,Apparel,Menswear,Puma,S093,19938,23750
P1313,Drawing Book 466,Stationery,Art Supplies,Parker,S021,2821,3720
P1314,Marker 892,Stationery,Writing,Camlin,S040,4260,4980
P1315,Action Set 199,Toys,Action Figures,Hot Wheels,S041,51147,65430
P1316,Men's Jeans 196,Apparel,Menswear,Levis,S057,3461,4390
P1317,Treadmill 993,Sports,Fitness,Nivia,S054,46973,60050
P1318,Curtains 616,Home & Kitchen,Decor,Milton,S011,54965,67820
P1319,Ice Cream 505,Groceries,Frozen,Britannia,S077,27975,37930
P1320,Rice 239,Groceries,Staples,Amul,S023,18760,26310
P1321,Printer 359,Electronics,Computer,Asus,S032,46590,64320
P1322,Men's T-Shirt 716,Apparel,Menswear,Puma,S085,58934,78870
P1323,Electric Kettle 838,Home & Kitchen,Appliances,Milton,S069,7269,9530
P1324,Sleeping Bag 923,Toys,Outdoor,Lego,S040,57863,67080
P1325,Sticky Pad 466,Stationery,Paper,Parker,S092,56627,77400
P1326,Two Seater Sofa 508,Furniture,Sofa,Ikea,S040,8597,11290
P1327,Backpack 246,Sports,Outdoor,Yonex,S057,3331,4100
P1328,Mouse 174,Electronics,Computer,Samsung,S025,42909,53570
P1329,Yoga Mat 493,Sports,Fitness,Cosco,S019,4706,6730
P1330,Men's Jeans 620,Apparel,Menswear,Puma,S050,36068,48230
P1331,Tea 193,Groceries,Beverages,Britannia,S057,3932,5080
P1332,Cap 467,Sports,Accessories,Cosco,S081,41454,55390
P1333,Namkeen 676,Groceries,Snacks,Britannia,S040,13940,17760
P1334,Document Folder 828,Stationery,Files,Classmate,S090,5816,7510
P1335,Photo Frame 943,Home & Kitchen,Decor,Pigeon,S061,4043,5000
P1336,Chess Set 405,Toys,Board Games,Funskool,S008,11354,14560
P1337,Basketball 452,Sports,Team Sports,Nike,S074,32468,44020
P1338,Watch 886,Apparel,Accessories,Puma,S058,4644,5400
P1339,Gel Pen 723,Stationery,Writing,Parker,S039,48146,66850
P1340,Tea 346,Groceries,Beverages,Tata,S047,36267,44790
P1341,Vase 715,Home & Kitchen,Decor,Prestige,S031,17873,24210
P1342,Dining Table 241,Furniture,Table,Nilkamal,S062,59196,79490
P1343,Microphone 503,Electronics,Audio,HP,S057,39529,53200
P1344,Vacuum Cleaner 375,Home & Kitchen,Cleaning,Philips,S045,40335,53740
P1345,Shoe Rack 992,Furniture,Storage,Ikea,S029,10478,15060
P1346,Robot Toy 131,Toys,Action Figures,Lego,S040,42660,55560
P1347,Stapler 870,Stationery,Office Supplies,Camlin,S050,33573,45980
P1348,Sandals 352,Sports,Footwear,Yonex,S048,59075,80440
P1349,Backpack 132,Sports,Outdoor,Puma,S031,28705,35050
P1350,Photo Frame 693,Home & Kitchen,Decor,Bajaj,S059,40696,50260
P1351,Headphones 709,Electronics,Audio,HP,S023,20500,26180
P1352,Wheat Flour 227,Groceries,Staples,Parle,S051,2458,3030
P1353,Sugar 134,Groceries,Staples,Amul,S013,7718,9720
P1354,Chess Set 200,Toys,Board Games,Lego,S048,52026,65930
P1355,Study Table 467,Furniture,Table,Durian,S079,44300,58970
P1356,Biscuits 219,Groceries,Snacks,Parle,S082,21912,26640
P1357,Kids Jacket 732,Apparel,Kidswear,Adidas,S070,41884,58270
P1358,Coffee Table 169,Furniture,Table,Godrej,S075,311,400
P1359,Action Camera 809,Electronics,Camera,Lenovo,S007,2279,3100
P1360,Women's Jeans 886,Apparel,Womenswear,Adidas,S035,30458,35770
P1361,Lens 744,Electronics,Camera,Sony,S066,37516,48430
P1362,Lens 948,Electronics,Camera,Asus,S081,56224,65130
P1363,Belt 944,Apparel,Accessories,Zara,S059,45591,61670
P1364,Office Chair 141,Furniture,Chair,Nilkamal,S086,15476,19390
P1365,Mop 407,Home & Kitchen,Cleaning,Bajaj,S028,48917,70180
P1366,Printer 783,Electronics,Computer,LG,S016,29516,36810
P1367,Women's Top 405,Apparel,Womenswear,Zara,S009,49570,65390
P1368,Juice 762,Groceries,Beverages,ITC,S059,10467,12850
P1369,Puzzle Set 796,Toys,Educational,Mattel,S067,1622,2170
P1370,Yoga Mat 996,Sports,Fitness,Nivia,S029,3508,4530
P1371,Learning Kit 396,Toys,Educational,Hasbro,S079,59453,74980
P1372,Cap 412,Apparel,Accessories,Puma,S074,4878,5910
P1373,Juice 121,Groceries,Beverages,Parle,S037,56364,66700
P1374,Namkeen 356,Groceries,Snacks,Parle,S024,43634,51750
P1375,Camping Chair 352,Toys,Outdoor,Hot Wheels,S075,8805,12760
P1376,Rubik's Cube 507,Toys,Puzzles,Lego,S068,51851,66040
P1377,3D Puzzle 478,Toys,Puzzles,Hasbro,S018,8695,10000
P1378,Ball Pen 870,Stationery,Writing,Camlin,S026,8640,12410
P1379,Cabinet 795,Home & Kitchen,Storage,Milton,S049,34552,39940
P1380,Vacuum Cleaner 755,Home & Kitchen,Cleaning,Milton,S052,17334,22110
P1381,Learning Kit 104,Toys,Educational,Mattel,S017,17484,23870
P1382,Kids Frock 523,Apparel,Kidswear,Levis,S095,11742,16730
