Return_ID,Order_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Refund_Amount
R10047,SO48496,P1266,19-Sep-2025,2,Defective,16480
R10048,SO67825,P1114,26-Feb-2025,7,Damaged,367640
R10049,SO13780,P1149,19-Oct-2025,1,Size Issue,7150
R10050,SO65667,P1997,18-Jan-2025,11,Size Issue,290730
R10051,SO33405,P1211,02-Sep-2025,6,Defective,30780
R10052,SO42433,P1360,25-Apr-2025,8,Size Issue,286160
R10053,SO25468,P1699,09-Feb-2025,8,Defective,190480
R10054,SO22823,P1815,29-Mar-2025,1,Defective,25520
R10055,SO26396,P1662,16-Jan-2025,13,Not Required,908830
R10056,SO52865,P1449,20-Jul-2025,1,Defective,16000
R10057,SO61900,P1468,23-Jan-2025,16,Wrong Item,115680
R10058,SO63163,P1142,27-Dec-2025,7,Not Required,8330
R10059,SO47643,P1123,24-Dec-2025,1,Not Required,61890
R10060,SO38463,P1142,12-Aug-2025,9,Defective,10710
R10061,SO11210,P1884,18-Mar-2025,7,Defective,102270
R10062,SO23839,P1719,18-May-2025,1,Damaged,15140
R10063,SO51015,P1070,12-Dec-2025,2,Size Issue,146860
R10064,SO31841,P1846,31-May-2025,1,Not Required,56760
R10065,SO57967,P1489,20-Jul-2025,15,Wrong Item,172950
R10066,SO67540,P1689,19-Apr-2025,2,Defective,98220
R10067,SO40881,P1049,17-Apr-2025,3,Not Required,37470
R10068,SO60290,P1940,23-Sep-2025,4,Defective,287840
R10069,SO61261,P1446,06-Jan-2026,3,Late Delivery,193530
R10070,SO42767,P1303,30-Nov-2025,5,Not Required,61850
R10071,SO11813,P1601,07-May-2025,4,Defective,40520
R10072,SO29579,P1066,17-Jun-2025,14,Late Delivery,297920
R10073,SO13321,P1552,12-Jan-2025,5,Quality Issue,332250
R10074,SO61560,P1441,10-Jul-2025,4,Defective,235120
R10075,SO13020,P1900,17-Dec-2025,4,Size Issue,272880
R10076,SO53390,P1650,22-Nov-2025,7,Late Delivery,323680
R10077,SO58647,P1045,27-Sep-2025,4,Defective,177760
R10078,SO52161,P1716,16-Jan-2025,1,Wrong Item,34800
R10079,SO63251,P1846,01-Apr-2025,6,Damaged,340560
R10080,SO38841,P1933,23-Jan-2025,11,Not Required,65780
R10081,SO23808,P1920,13-May-2025,1,Quality Issue,61930
R10082,SO22063,P1452,27-Aug-2025,16,Not Required,1115200
R10083,SO59497,P1648,03-Oct-2025,8,Damaged,522080
R10084,SO28325,P1079,12-Oct-2025,4,Damaged,190320
R10085,SO14598,P1133,17-Jul-2025,3,Defective,218760
R10086,SO19111,P1742,21-Aug-2025,1,Defective,74910
R10087,SO54619,P1649,18-Oct-2025,1,Not Required,42310
R10088,SO12431,P1473,31-Aug-2025,2,Defective,70400
R10089,SO39338,P1208,27-Nov-2025,11,Damaged,678590
R10090,SO13687,P1935,30-Aug-2025,13,Defective,402220
R10091,SO14992,P1109,25-Jan-2025,2,Defective,88220
R10092,SO61681,P1465,09-Feb-2025,1,Defective,9980
R10093,SO56865,P1463,11-Nov-2025,12,Damaged,233400
R10094,SO42268,P1146,15-Jul-2025,1,Late Delivery,67400
R10095,SO14495,P1621,19-Sep-2025,1,Late Delivery,10070
R10096,SO15124,P1128,09-Jan-2026,10,Late Delivery,716100
R10097,SO49881,P1468,10-Sep-2025,2,Late Delivery,14460
R10098,SO58816,P1172,29-Dec-2025,1,Not Required,25350
R10099,SO30177,P1144,08-May-2025,4,Not Required,278320
R10100,SO55019,P1793,20-Jul-2025,11,Late Delivery,658790
R10101,SO66438,P1219,27-Jan-2025,7,Defective,14630
R10102,SO62537,P1582,09-Aug-2025,1,Quality Issue,26120
R10103,SO39548,P1805,25-Oct-2025,3,Not Required,91530
R10104,SO13449,P1556,06-Feb-2025,16,Wrong Item,719840
R10105,SO67155,P1777,30-Jan-2025,1,Wrong Item,39890
R10106,SO21725,P1084,08-Feb-2025,6,Size Issue,454800
R10107,SO28449,P1537,19-Mar-2025,8,Quality Issue,206080
R10108,SO68027,P1416,16-Sep-2025,6,Damaged,28320
R10109,SO22001,P1743,19-May-2025,13,Defective,532740
R10110,SO69225,P1265,30-Jan-2025,3,Size Issue,113520
R10111,SO50201,P1426,26-Oct-2025,12,Damaged,750480
R10112,SO19971,P1906,11-Aug-2025,16,Damaged,2240
R10113,SO69482,P1848,12-Mar-2025,3,Late Delivery,102540
R10114,SO25258,P1888,21-Oct-2025,9,Quality Issue,235710
R10115,SO15961,P1918,05-Jul-2025,5,Size Issue,7350
R10116,SO14108,P1979,05-Sep-2025,4,Size Issue,207360
R10117,SO41134,P1154,29-Apr-2025,7,Defective,171920
R10118,SO63101,P1620,04-Jun-2025,9,Wrong Item,50580
R10119,SO51189,P1467,22-Jun-2025,10,Not Required,286100
R10120,SO47793,P1694,21-Jul-2025,8,Not Required,534960
R10121,SO34247,P1869,09-Aug-2025,4,Wrong Item,214280
R10122,SO56704,P1077,03-Jun-2025,4,Quality Issue,101240
R10123,SO55545,P1919,31-Aug-2025,3,Size Issue,16500
R10124,SO58435,P1292,13-May-2025,4,Size Issue,191560
R10125,SO66022,P1706,26-Sep-2025,6,Defective,19560
R10126,SO62936,P1896,09-Oct-2025,3,Quality Issue,174600
R10127,SO20789,P1025,25-Feb-2025,2,Size Issue,76380
R10128,SO18015,P1067,08-Mar-2025,4,Wrong Item,129520
R10129,SO47857,P1663,25-Jul-2025,15,Defective,612600
R10130,SO68726,P1331,11-Oct-2025,3,Late Delivery,15240
R10131,SO27781,P1056,20-Jan-2025,9,Damaged,645210
R10132,SO69487,P1510,18-Mar-2025,11,Damaged,33550
R10133,SO47536,P1787,11-Apr-2025,3,Quality Issue,166410
R10134,SO22521,P1431,09-Dec-2025,5,Defective,334900
R10135,SO46392,P1404,20-Oct-2025,4,Not Required,289920
R10136,SO24991,P1693,21-Mar-2025,1,Not Required,65430
R10137,SO26606,P1299,07-Mar-2025,2,Wrong Item,45380
R10138,SO17633,P1895,12-Oct-2025,10,Damaged,527900
R10139,SO54352,P1510,03-Apr-2025,2,Late Delivery,6100
R10140,SO17160,P1829,10-Apr-2025,3,Size Issue,119520
R10141,SO48886,P1860,22-Jul-2025,4,Quality Issue,270680
R10142,SO32037,P1222,21-Jul-2025,1,Damaged,23670
R10143,SO40090,P1394,26-Jun-2025,6,Defective,261300
R10144,SO57732,P1002,06-Feb-2025,6,Not Required,394440
R10145,SO51495,P1578,20-Sep-2025,16,Defective,115360
R10146,SO64670,P1706,14-Dec-2025,3,Damaged,9780
R10147,SO48058,P1633,08-Jun-2025,14,Wrong Item,207340
R10148,SO69232,P1165,21-Feb-2025,5,Not Required,91800
R10149,SO24594,P1051,13-Jun-2025,12,Wrong Item,421440
R10150,SO59034,P1829,25-Jan-2025,7,Late Delivery,278880
R10151,SO66251,P1505,10-Sep-2025,4,Wrong Item,130360
R10152,SO31409,P1080,28-Feb-2025,7,Quality Issue,313040
R10153,SO46578,P1624,20-Jun-2025,1,Not Required,71150
R10154,SO56738,P1852,21-Jul-2025,18,Damaged,668880
R10155,SO52518,P1901,19-Nov-2025,4,Damaged,12640
R10156,SO59691,P1947,30-Nov-2025,5,Late Delivery,177750
R10157,SO60768,P1434,02-Aug-2025,15,Defective,371250
R10158,SO59356,P1785,17-Jul-2025,5,Damaged,102700
R10159,SO67265,P1584,01-Jul-2025,4,Quality Issue,214960
R10160,SO54249,P1576,12-Jul-2025,10,Quality Issue,321700
R10161,SO40820,P1131,24-May-2025,6,Late Delivery,30540
R10162,SO11208,P1089,07-Oct-2025,6,Damaged,194040
R10163,SO33858,P1388,02-Aug-2025,12,Wrong Item,708240
R10164,SO58592,P1221,06-Oct-2025,5,Not Required,113450
R10165,SO26819,P1872,05-Dec-2025,8,Size Issue,320000
R10166,SO59846,P1406,09-Jun-2025,7,Defective,520030
R10167,SO30882,P1465,02-Mar-2025,12,Size Issue,119760
R10168,SO55479,P1198,30-Jun-2025,4,Size Issue,72160
R10169,SO47157,P1213,09-Jul-2025,10,Defective,503800
R10170,SO53263,P1023,09-Mar-2025,9,Late Delivery,203130
R10171,SO26492,P1058,05-Oct-2025,2,Late Delivery,103260
R10172,SO10497,P1727,08-Feb-2025,2,Late Delivery,137960
R10173,SO23766,P1650,19-Jun-2025,8,Damaged,369920
R10174,SO67365,P1607,06-Aug-2025,2,Wrong Item,142460
R10175,SO63537,P1447,06-Mar-2025,5,Late Delivery,105250
R10176,SO45496,P1239,17-Sep-2025,1,Late Delivery,83120
R10177,SO27118,P1892,11-Jun-2025,4,Quality Issue,111520
R10178,SO61945,P1682,19-Jun-2025,5,Size Issue,121450
R10179,SO65426,P1306,06-Jul-2025,2,Late Delivery,50920
R10180,SO33966,P1598,23-Aug-2025,2,Damaged,76920
R10181,SO15605,P1017,02-Apr-2025,8,Quality Issue,212640
R10182,SO32296,P1875,25-Jun-2025,4,Damaged,141360
R10183,SO45085,P1146,30-Nov-2025,8,Quality Issue,539200
R10184,SO46478,P1356,13-Sep-2025,13,Size Issue,346320
R10185,SO41443,P1858,30-Mar-2025,1,Not Required,69000
R10186,SO56993,P1678,27-Mar-2025,12,Not Required,304920
R10187,SO21691,P1002,15-Mar-2025,2,Quality Issue,131480
R10188,SO38255,P1330,30-Aug-2025,7,Late Delivery,337610
R10189,SO52681,P1362,14-Oct-2025,14,Not Required,911820
R10190,SO17944,P1616,29-Jan-2025,1,Not Required,1940
R10191,SO37341,P1829,15-Aug-2025,8,Damaged,318720
R10192,SO63041,P1752,11-Mar-2025,12,Quality Issue,365520
R10193,SO44413,P1797,05-Jun-2025,3,Defective,17850
R10194,SO22604,P1330,29-Mar-2025,1,Damaged,48230
R10195,SO25412,P1206,08-May-2025,16,Wrong Item,1101440
R10196,SO25941,P1056,11-Jun-2025,3,Damaged,215070
R10197,SO11600,P1032,15-Sep-2025,5,Wrong Item,245700
R10198,SO56083,P1928,13-Jul-2025,3,Late Delivery,61920
R10199,SO40458,P1444,21-Aug-2025,2,Size Issue,129840
R10200,SO60858,P1343,14-Oct-2025,19,Late Delivery,1010800
R10201,SO38345,P1532,05-Jan-2026,3,Not Required,51720
R10202,SO62552,P1981,15-Nov-2025,3,Defective,68280
R10203,SO25137,P1445,28-Oct-2025,3,Late Delivery,7470
R10204,SO53642,P1660,27-Jul-2025,3,Quality Issue,48810
R10205,SO67913,P1661,19-May-2025,2,Quality Issue,10700
R10206,SO28866,P1888,09-Jun-2025,6,Size Issue,157140
R10207,SO62161,P1958,12-Mar-2025,10,Late Delivery,741200
R10208,SO60202,P1832,10-Jul-2025,1,Size Issue,19990
R10209,SO48400,P1879,16-Nov-2025,9,Defective,455940
R10210,SO38353,P1191,23-May-2025,5,Wrong Item,314350
R10211,SO58383,P1300,21-May-2025,5,Defective,68200
R10212,SO17607,P1993,08-Nov-2025,5,Damaged,100700
R10213,SO26782,P1839,30-May-2025,2,Quality Issue,10240
R10214,SO41360,P1227,09-Mar-2025,8,Size Issue,411360
R10215,SO60628,P1128,08-Dec-2025,2,Size Issue,143220
R10216,SO53342,P1178,26-Feb-2025,1,Size Issue,43380
R10217,SO28232,P1070,18-Apr-2025,1,Quality Issue,73430
R10218,SO32606,P1890,06-Mar-2025,7,Quality Issue,489020
R10219,SO33750,P1824,28-Jan-2025,12,Defective,113280
R10220,SO54441,P1039,25-Dec-2025,5,Late Delivery,156550
R10221,SO39147,P1915,23-Sep-2025,15,Late Delivery,220350
R10222,SO58630,P1203,05-Aug-2025,3,Damaged,52860
R10223,SO30150,P1147,09-Feb-2025,6,Late Delivery,243780
R10224,SO63213,P1019,26-Jun-2025,5,Defective,298700
R10225,SO19100,P1187,07-Dec-2025,11,Not Required,323510
R10226,SO54350,P1656,13-Apr-2025,3,Quality Issue,176010
R10227,SO24806,P1803,20-Aug-2025,14,Defective,642600
R10228,SO49028,P1972,12-Mar-2025,2,Wrong Item,111020
R10229,SO61289,P1450,19-Nov-2025,4,Size Issue,41520
R10230,SO12729,P1102,15-Mar-2025,3,Defective,189750
R10231,SO38077,P1524,30-Sep-2025,2,Not Required,118720
R10232,SO41557,P1357,07-Oct-2025,1,Size Issue,58270
R10233,SO54078,P1937,25-Aug-2025,11,Late Delivery,446380
R10234,SO17267,P1207,25-Jan-2025,13,Not Required,688350
R10235,SO34448,P1320,08-Jul-2025,3,Wrong Item,78930
R10236,SO39129,P1273,14-May-2025,11,Defective,510840
R10237,SO45581,P1085,15-Jun-2025,1,Damaged,57540
R10238,SO44131,P1403,26-Nov-2025,1,Not Required,25340
R10239,SO31060,P1582,20-Mar-2025,2,Defective,52240
R10240,SO62548,P1696,07-Sep-2025,9,Quality Issue,415980
R10241,SO22401,P1006,08-Oct-2025,3,Damaged,58320
R10242,SO40842,P1240,14-Aug-2025,2,Damaged,42080
R10243,SO24811,P1155,21-Aug-2025,4,Quality Issue,2360
R10244,SO34203,P1092,20-Jun-2025,12,Late Delivery,876720
R10245,SO67159,P1820,29-Jan-2025,15,Wrong Item,115950
R10246,SO69793,P1855,07-Jan-2026,14,Not Required,1039080
R10247,SO26131,P1514,28-May-2025,2,Not Required,14260
R10248,SO28549,P1259,12-Mar-2025,4,Wrong Item,251360
R10249,SO28984,P1557,05-Jun-2025,1,Size Issue,10610
R10250,SO25397,P1819,14-Apr-2025,9,Damaged,549360
R10251,SO10376,P1014,21-Aug-2025,1,Late Delivery,51050
R10252,SO40226,P1604,21-Jun-2025,3,Late Delivery,71460
R10253,SO40826,P1574,13-Jul-2025,4,Quality Issue,181440
R10254,SO18177,P1764,07-Apr-2025,2,Defective,145040
R10255,SO32115,P1462,20-May-2025,1,Not Required,31370
R10256,SO36953,P1793,30-Nov-2025,8,Size Issue,479120
R10257,SO22956,P1859,09-Oct-2025,7,Defective,233170
R10258,SO60371,P1434,23-May-2025,6,Defective,148500
R10259,SO27743,P1675,11-Jul-2025,4,Damaged,187400
R10260,SO42354,P1781,17-Aug-2025,9,Late Delivery,547020
R10261,SO19009,P1214,07-Jun-2025,8,Size Issue,219360
R10262,SO32771,P1731,15-Jan-2025,1,Late Delivery,59700
R10263,SO39407,P1299,01-Dec-2025,1,Damaged,22690
R10264,SO32393,P1957,07-Jan-2025,10,Defective,124500
R10265,SO67350,P1458,29-Jul-2025,1,Defective,55790
R10266,SO41043,P1948,21-Mar-2025,3,Damaged,95700
R10267,SO29522,P1799,28-Aug-2025,7,Late Delivery,263340
R10268,SO32588,P1876,02-Jan-2026,15,Damaged,349050
R10269,SO21274,P1188,20-Jun-2025,4,Not Required,332360
R10270,SO53712,P1451,24-May-2025,2,Wrong Item,120880
R10271,SO68664,P1728,25-Dec-2025,1,Damaged,43070
R10272,SO61039,P1365,16-Mar-2025,4,Not Required,280720
R10273,SO65754,P1176,23-Nov-2025,4,Late Delivery,154040
R10274,SO15624,P1315,15-Apr-2025,12,Not Required,785160
R10275,SO66132,P1771,05-May-2025,2,Size Issue,97820
R10276,SO59441,P1034,31-Aug-2025,5,Wrong Item,341150
R10277,SO36037,P1583,16-Sep-2025,8,Not Required,407680
R10278,SO11945,P1162,08-Aug-2025,9,Defective,171000
R10279,SO60456,P1635,12-Sep-2025,4,Wrong Item,271440
R10280,SO31747,P1571,04-Nov-2025,5,Damaged,318950
R10281,SO18533,P1587,27-Oct-2025,10,Not Required,429700
R10282,SO11556,P1551,29-Jan-2025,7,Wrong Item,334740
R10283,SO43025,P1942,09-Mar-2025,1,Late Delivery,32830
R10284,SO38426,P1809,27-Jun-2025,1,Defective,4350
R10285,SO37233,P1724,07-May-2025,5,Wrong Item,124400
R10286,SO20256,P1376,30-Nov-2025,1,Quality Issue,66040
R10287,SO64675,P1943,21-Sep-2025,4,Damaged,170840
R10288,SO56980,P1184,11-Oct-2025,1,Wrong Item,71240
R10289,SO45132,P1208,07-Aug-2025,6,Damaged,370140
R10290,SO48891,P1864,01-Oct-2025,16,Not Required,773280
R10291,SO19293,P1859,04-Sep-2025,4,Quality Issue,133240
R10292,SO52150,P1543,16-Jan-2026,11,Damaged,246070
R10293,SO56949,P1749,07-Jan-2026,1,Damaged,26420
R10294,SO30216,P1499,26-Apr-2025,2,Wrong Item,45420
R10295,SO20797,P1545,02-Jan-2026,4,Wrong Item,54040
R10296,SO28367,P1433,08-Jul-2025,5,Late Delivery,99550
R10297,SO25092,P1619,14-May-2025,15,Late Delivery,360000
R10298,SO60032,P1974,04-Mar-2025,1,Size Issue,47180
R10299,SO60660,P1473,23-Sep-2025,3,Size Issue,105600
R10300,SO47079,P1243,06-Mar-2025,1,Damaged,77540
R10301,SO62771,P1270,12-Feb-2025,12,Size Issue,695760
R10302,SO52753,P1513,29-May-2025,3,Damaged,22770
R10303,SO41993,P1626,21-Aug-2025,9,Not Required,352800
R10304,SO18882,P1140,02-May-2025,7,Quality Issue,247030
R10305,SO29892,P1539,16-Jan-2026,5,Size Issue,123450
R10306,SO60740,P1202,26-Aug-2025,5,Late Delivery,349800
R10307,SO36297,P1716,14-Jan-2025,1,Wrong Item,34800
R10308,SO63445,P1838,24-Apr-2025,6,Wrong Item,24180
R10309,SO46554,P1590,01-Apr-2025,11,Defective,387090
R10310,SO37208,P1146,31-Jul-2025,3,Defective,202200
R10311,SO62033,P1013,20-May-2025,8,Quality Issue,456320
R10312,SO23700,P1797,09-Apr-2025,4,Late Delivery,23800
R10313,SO12512,P1967,01-May-2025,4,Damaged,260240
R10314,SO18014,P1213,14-Dec-2025,6,Defective,302280
R10315,SO24692,P1499,05-Mar-2025,12,Not Required,272520
R10316,SO30789,P1658,22-Jun-2025,2,Wrong Item,71240
R10317,SO60127,P1197,24-Dec-2025,4,Size Issue,184240
R10318,SO26461,P1670,28-Feb-2025,3,Quality Issue,85110
R10319,SO43356,P1075,25-Sep-2025,6,Size Issue,409080
R10320,SO37902,P1513,22-Sep-2025,1,Damaged,7590
R10321,SO21086,P1179,26-Nov-2025,7,Damaged,414260
R10322,SO30862,P1407,24-Mar-2025,1,Defective,62040
R10323,SO43199,P1988,28-Nov-2025,3,Quality Issue,130020
R10324,SO43871,P1599,09-Jan-2025,2,Wrong Item,21640
R10325,SO30410,P1896,13-Dec-2025,9,Wrong Item,523800
R10326,SO46993,P1139,10-Jan-2026,11,Not Required,61050
R10327,SO41773,P1211,01-Aug-2025,2,Wrong Item,10260
R10328,SO43727,P1021,22-Aug-2025,12,Wrong Item,243360
R10329,SO64340,P1667,06-Nov-2025,5,Wrong Item,28000
R10330,SO17025,P1441,03-Jun-2025,1,Quality Issue,58780
R10331,SO25827,P1201,17-Nov-2025,9,Size Issue,717030
R10332,SO49359,P1938,01-Mar-2025,8,Damaged,182240
R10333,SO42597,P1034,15-Nov-2025,3,Quality Issue,204690
R10334,SO11033,P1501,01-Nov-2025,6,Quality Issue,60180
R10335,SO60519,P1775,19-Mar-2025,14,Wrong Item,957040
R10336,SO42322,P1769,01-Nov-2025,5,Defective,215650
R10337,SO40128,P1715,01-Jan-2026,4,Size Issue,296280
R10338,SO26120,P1377,27-Mar-2025,2,Not Required,20000
R10339,SO62258,P1190,20-Oct-2025,4,Late Delivery,141400
R10340,SO17243,P1751,29-Jan-2025,2,Late Delivery,109080
R10341,SO35424,P1216,19-Apr-2025,12,Not Required,651720
R10342,SO63874,P1295,06-Sep-2025,5,Wrong Item,27000
R10343,SO35149,P1469,18-Mar-2025,8,Quality Issue,316160
R10344,SO12465,P1597,14-Apr-2025,11,Damaged,755040
R10345,SO50372,P1120,24-Dec-2025,2,Size Issue,46720
R10346,SO55990,P1843,14-Mar-2025,1,Defective,39590
R10347,SO22942,P1767,19-Apr-2025,1,Damaged,50980
R10348,SO47547,P1417,05-Aug-2025,10,Late Delivery,166200
R10349,SO28647,P1115,01-Apr-2025,11,Late Delivery,174350
R10350,SO64316,P1200,27-May-2025,9,Size Issue,117810
R10351,SO53044,P1395,18-Aug-2025,4,Defective,198400
R10352,SO63344,P1744,08-Aug-2025,1,Late Delivery,2900
R10353,SO15630,P1810,23-Sep-2025,1,Quality Issue,70500
R10354,SO24913,P1441,02-Nov-2025,8,Wrong Item,470240
R10355,SO18693,P1618,10-Aug-2025,1,Wrong Item,50740
R10356,SO63669,P1923,04-Dec-2025,5,Not Required,188800
R10357,SO54673,P1159,17-Jul-2025,2,Wrong Item,131200
R10358,SO19963,P1346,26-Oct-2025,1,Damaged,55560
R10359,SO39663,P1477,22-Jul-2025,5,Quality Issue,85150
R10360,SO68375,P1449,10-Jun-2025,1,Quality Issue,16000
R10361,SO56851,P1307,01-Jun-2025,9,Size Issue,588510
R10362,SO18940,P1121,11-Apr-2025,7,Wrong Item,129710
R10363,SO36517,P1146,14-Sep-2025,8,Size Issue,539200
R10364,SO53864,P1014,09-Apr-2025,9,Not Required,459450
R10365,SO10823,P1411,12-Jan-2025,10,Defective,663400
R10366,SO30260,P1629,19-Jan-2025,3,Late Delivery,109290
R10367,SO44003,P1567,12-Sep-2025,3,Late Delivery,22950
R10368,SO38153,P1770,25-Nov-2025,11,Damaged,184800
R10369,SO44888,P1808,01-Jun-2025,4,Damaged,272880
R10370,SO66673,P1529,07-Jul-2025,3,Not Required,195720
R10371,SO29102,P1102,29-May-2025,2,Defective,126500
R10372,SO61208,P1082,13-Jul-2025,4,Damaged,126640
R10373,SO15830,P1918,26-Apr-2025,13,Quality Issue,19110
R10374,SO22598,P1131,09-Sep-2025,4,Late Delivery,20360
R10375,SO47996,P1083,18-Jul-2025,3,Late Delivery,54090
R10376,SO25938,P1018,02-Aug-2025,2,Size Issue,11580
R10377,SO62942,P1775,13-Jan-2025,1,Wrong Item,68360
R10378,SO60704,P1107,12-Dec-2025,2,Wrong Item,3780
R10379,SO39165,P1685,27-Jan-2025,1,Not Required,32050
R10380,SO23063,P1422,16-Jun-2025,2,Defective,59600
R10381,SO25993,P1790,19-Jun-2025,5,Damaged,295850
R10382,SO66964,P1285,15-Jun-2025,1,Size Issue,36600
R10383,SO45941,P1035,12-Sep-2025,1,Wrong Item,20370
R10384,SO27117,P1218,07-Dec-2025,3,Late Delivery,46890
R10385,SO32288,P1907,04-Sep-2025,3,Wrong Item,7920
R10386,SO13073,P1593,25-Jan-2025,3,Defective,93450
R10387,SO36298,P1079,29-Jun-2025,2,Defective,95160
R10388,SO24198,P1164,18-Aug-2025,9,Wrong Item,83790
R10389,SO66627,P1940,26-Aug-2025,6,Late Delivery,431760
R10390,SO62226,P1023,12-Aug-2025,15,Size Issue,338550
R10391,SO67965,P1745,20-Jun-2025,1,Wrong Item,71120
R10392,SO31349,P1257,24-Jul-2025,8,Size Issue,368320
R10393,SO24149,P1865,01-May-2025,2,Defective,148560
R10394,SO21419,P1366,21-Oct-2025,9,Wrong Item,331290
R10395,SO50625,P1828,22-Nov-2025,4,Damaged,18160
R10396,SO19930,P1682,05-Mar-2025,13,Size Issue,315770
R10397,SO48062,P1475,14-Sep-2025,2,Size Issue,34100
R10398,SO57616,P1949,07-Jan-2026,8,Quality Issue,237280
R10399,SO12946,P1956,01-Sep-2025,16,Quality Issue,1091200
R10400,SO46041,P1607,27-Oct-2025,1,Defective,71230
R10401,SO15994,P1738,22-Feb-2025,6,Late Delivery,68940
R10402,SO16127,P1346,07-Jun-2025,1,Quality Issue,55560
R10403,SO50792,P1686,27-Oct-2025,15,Size Issue,198300
R10404,SO67382,P1575,01-May-2025,14,Not Required,133700
R10405,SO21564,P1458,23-Jan-2025,7,Late Delivery,390530
R10406,SO25477,P1932,21-Oct-2025,4,Late Delivery,270440
R10407,SO39568,P1508,23-Sep-2025,8,Quality Issue,280880
R10408,SO42802,P1751,01-Oct-2025,7,Size Issue,381780
R10409,SO56356,P1443,23-Jun-2025,8,Defective,312640
R10410,SO30106,P1571,07-Jun-2025,5,Damaged,318950
R10411,SO18017,P1167,02-Sep-2025,10,Damaged,220700
R10412,SO53905,P1853,07-Aug-2025,1,Not Required,54770
R10413,SO63831,P1298,12-Mar-2025,8,Late Delivery,570160
R10414,SO46151,P1290,22-Mar-2025,2,Quality Issue,134940
R10415,SO39901,P1891,27-Sep-2025,1,Defective,10840
R10416,SO63086,P1775,08-Oct-2025,6,Quality Issue,410160
R10417,SO13677,P1135,20-Mar-2025,6,Not Required,311160
R10418,SO37162,P2000,24-Sep-2025,5,Wrong Item,354000
R10419,SO17370,P1917,24-Jun-2025,1,Wrong Item,2480
R10420,SO37061,P1028,30-Sep-2025,3,Defective,150360
R10421,SO51100,P1596,29-May-2025,2,Wrong Item,74420
R10422,SO26649,P1161,11-Jan-2026,5,Late Delivery,87150
R10423,SO31955,P1370,22-May-2025,10,Wrong Item,45300
R10424,SO29635,P1879,14-Dec-2025,1,Late Delivery,50660
R10425,SO27522,P1904,25-Jan-2025,1,Damaged,41360
R10426,SO67914,P1161,13-Aug-2025,12,Not Required,209160
